	Feature 1	Feature 2	proportion
145	delrel	dorsal	0.0045
146	delrel	lab	0.0045
147	long	frontshift	0.0013
148	cor	strid	0.0016
149	ant	strid	0.0024
150	distr	strid	0.0024
151	hi	strid	0.0013
152	lat	tense	0.0008
153	dorsal	long	0.0011
154	frontshift	centering	0.0005
155	frontshift	longdistance	0.0005
156	opening	centering	0.0011
157	opening	longdistance	0.0011
158	centering	longdistance	0.0011
159	centering	secondrounded	0.0011
160	longdistance	secondrounded	0.0011
161	cor	lo	0.0003
162	lo	ant	0.0005
163	lo	distr	0.0003
164	tense	distr	0.0013
165	long	ant	0.0019
166	long	distr	0.0013
167	cons	strid	0.0005
168	front	strid	0.0013
169	syl	back	0.0005
170	syl	round	0.0003
171	cons	syl	0.0008
172	syl	hi	0.0008
173	cons	voi	0.0005
174	cons	long	0.0003
175	cont	long	0.0016
176	voi	long	0.0008
177	son	lat	0.0008
178	cons	ant	0.0032
179	lat	back	0.0005
180	lat	front	0.0011
181	sg	cor	0.0003
182	sg	back	0.0003
183	sg	ant	0.0003
184	sg	distr	0.0003
185	back	strid	0.0016
186	backshift	opening	0.0003
187	backshift	centering	0.0005
188	backshift	longdistance	0.0005
189	backshift	secondrounded	0.0008
190	son	sg	0.0003
191	sg	dorsal	0.0003
192	sg	lab	0.0003
193	syl	front	0.0011
194	delrel	hi	0.0008
195	delrel	front	0.0011
196	cons	delrel	0.0008
197	long	closing	0.0005
198	lat	voi	0.0005
199	lat	long	0.0003
200	cont	hi	0.0005
201	syl	ant	0.0005
202	syl	distr	0.0005
203	lo	closing	0.0005
204	lo	centering	0.0003
205	tense	closing	0.0005
206	tense	centering	0.0005
207	frontshift	closing	0.0008
208	closing	centering	0.0005
209	dorsal	strid	0.0005
210	lab	strid	0.0003
211	syl	lo	0.0005
212	cons	lat	0.0008
213	lat	dorsal	0.0005
214	tense	longdistance	0.0003
215	tense	secondrounded	0.0008
216	opening	closing	0.0003
217	closing	longdistance	0.0005
218	closing	secondrounded	0.0005
219	syl	voi	0.0003
220	dorsal	round	0.0005
221	delrel	lo	0.0005
222	lab	lo	0.0005
223	hi	closing	0.0003
224	front	opening	0.0003
225	front	centering	0.0003
226	front	longdistance	0.0003
227	round	opening	0.0003
228	round	centering	0.0003
229	round	longdistance	0.0003
230	son	long	0.0005
231	cont	lo	0.0003
232	voi	back	0.0005
233	delrel	lat	0.0003
234	lat	lo	0.0003
235	dorsal	lo	0.0005
236	delrel	ant	0.0003
237	lo	secondrounded	0.0003
238	long	secondrounded	0.0008
239	syl	long	0.0005
240	long	backshift	0.0005
241	long	centering	0.0003
242	long	longdistance	0.0003
243	backshift	closing	0.0003
244	backshift	frontshift	0.0003
245	son	lo	0.0003
246	lo	strid	0.0003
247	son	delrel	0.0003
248	delrel	voi	0.0003
