	Feature 1	Feature 2	proportion
0	hi	long	0.0273
1	hi	lo	0.0058
2	hi	back	0.0202
3	hi	front	0.0239
4	hi	tense	0.0321
5	hi	round	0.0109
6	lo	back	0.004
7	lo	front	0.0042
8	lo	tense	0.0204
9	lo	round	0.0035
10	back	front	0.0284
11	back	tense	0.0085
12	back	round	0.0178
13	front	tense	0.008
14	front	round	0.0143
15	tense	round	0.0093
16	cont	front	0.0011
17	tense	long	0.1691
18	frontshift	opening	0.0011
19	frontshift	secondrounded	0.0011
20	opening	secondrounded	0.0013
21	cor	back	0.0098
22	cons	front	0.0024
23	cons	distr	0.0032
24	front	distr	0.0085
25	son	nas	0.0037
26	son	voi	0.0074
27	son	strid	0.0037
28	nas	voi	0.0032
29	nas	strid	0.0013
30	voi	strid	0.0042
31	dorsal	hi	0.0167
32	dorsal	back	0.008
33	cor	lab	0.0133
34	cor	ant	0.0236
35	cor	distr	0.0252
36	lab	ant	0.009
37	lab	distr	0.009
38	ant	distr	0.0356
39	cont	strid	0.0098
40	cons	back	0.0035
41	lo	long	0.0085
42	cor	front	0.0042
43	back	ant	0.0077
44	back	distr	0.0072
45	front	ant	0.0098
46	cont	nas	0.0085
47	cont	lat	0.0032
48	cont	cor	0.0058
49	cont	ant	0.0042
50	cont	distr	0.0048
51	lat	cor	0.0008
52	lat	ant	0.0029
53	lat	distr	0.0024
54	cor	hi	0.0058
55	hi	ant	0.0109
56	hi	distr	0.0096
57	cont	round	0.0008
58	dorsal	lab	0.0085
59	dorsal	front	0.0119
60	lab	front	0.0032
61	voi	dorsal	0.0008
62	voi	hi	0.0011
63	voi	front	0.0005
64	voi	ant	0.0008
65	voi	distr	0.0008
66	dorsal	ant	0.0082
67	dorsal	distr	0.0074
68	delrel	back	0.0008
69	delrel	round	0.0005
70	son	cont	0.0061
71	cont	voi	0.0045
72	cont	lab	0.0056
73	lat	nas	0.0019
74	lat	lab	0.0005
75	nas	lab	0.0029
76	back	long	0.004
77	front	long	0.005
78	cons	son	0.0035
79	cons	cont	0.0058
80	son	front	0.0008
81	round	ant	0.0011
82	son	hi	0.0013
83	nas	hi	0.0003
84	cons	round	0.0008
85	lo	frontshift	0.0011
86	cor	dorsal	0.0066
87	nas	lo	0.0008
88	cons	dorsal	0.004
89	cons	lab	0.0011
90	son	dorsal	0.0016
91	son	lab	0.0021
92	son	back	0.0024
93	cont	dorsal	0.0011
94	cont	back	0.0029
95	lab	back	0.0035
96	lab	hi	0.0037
97	nas	tense	0.0005
98	nas	long	0.0011
99	lab	tense	0.004
100	lab	long	0.0013
101	round	long	0.0029
102	cont	sg	0.004
103	sg	strid	0.004
104	syl	delrel	0.0066
105	cons	cor	0.0021
106	lat	hi	0.0016
107	lat	round	0.0005
108	round	distr	0.0005
109	long	strid	0.0013
110	cor	round	0.0005
111	cor	long	0.0011
112	lab	round	0.0003
113	son	cor	0.0021
114	son	tense	0.0008
115	voi	cor	0.0008
116	voi	tense	0.0008
117	cor	tense	0.0037
118	dorsal	tense	0.004
119	cons	nas	0.0008
120	nas	dorsal	0.0003
121	nas	ant	0.0019
122	son	round	0.0008
123	delrel	long	0.0008
124	delrel	strid	0.0003
125	son	ant	0.0019
126	son	distr	0.0019
127	tense	ant	0.0013
128	tense	opening	0.0008
129	ant	opening	0.0003
130	voi	lab	0.0016
131	cons	hi	0.0029
132	tense	frontshift	0.0013
133	nas	cor	0.0024
134	nas	distr	0.0019
135	cons	tense	0.0011
136	cont	tense	0.0013
137	syl	nas	0.0003
138	syl	cor	0.0032
139	syl	tense	0.0056
140	delrel	nas	0.0003
141	delrel	cor	0.0032
142	delrel	tense	0.005
143	syl	dorsal	0.0045
144	syl	lab	0.0042
