	gold	prediction	proportion
0	-	i	0.0588
1	a	-	0.0588
2	ts	t	0.0588
3	-	h	0.0588
4	ɨ	i	0.0588
5	o	u	0.0588
6	h	-	0.0588
7	-	r	0.0588
8	i	-	0.0392
9	-	ɨ	0.0392
10	-	t	0.0196
11	o	a	0.0196
12	-	ts	0.0196
13	k	t	0.0196
14	s	p	0.0196
15	r	-	0.0196
16	-	s	0.0196
17	tʃ	ts	0.0196
18	t	ts	0.0196
19	-	k	0.0196
20	-	a	0.0196
21	t	-	0.0196
22	u	-	0.0196
23	ɨ	a	0.0196
24	u	ɨ	0.0196
25	t	h	0.0196
26	k	-	0.0196
27	ɨ	-	0.0196
28	e	i	0.0196
29	a	ɨ	0.0196
30	-	u	0.0196
31	a	i	0.0196
32	-	w	0.0196
