	Feature 1	Feature 2	proportion
0	hi	distr	0.0294
1	cg	lo	0.0882
2	cons	cont	0.0294
3	cons	nas	0.0294
4	cont	nas	0.0294
5	lo	tense	0.0294
6	voi	ant	0.0294
7	delrel	cor	0.0294
8	delrel	dorsal	0.0294
9	delrel	lab	0.0294
10	cor	dorsal	0.0294
11	cor	lab	0.0294
12	dorsal	lab	0.0294
13	cons	hi	0.0294
14	son	nas	0.0294
15	son	voi	0.0294
16	son	laryngeal	0.0294
17	son	lab	0.0294
18	son	front	0.0294
19	nas	voi	0.0294
20	nas	laryngeal	0.0294
21	nas	lab	0.0294
22	nas	front	0.0294
23	voi	laryngeal	0.0294
24	voi	lab	0.0294
25	voi	front	0.0294
26	laryngeal	lab	0.0294
27	laryngeal	front	0.0294
28	lab	front	0.0294
29	voi	lo	0.0294
30	sg	ant	0.0294
31	voi	distr	0.0294
