	gold	prediction	proportion
0	æ	a	0.08
1	¹	⁴	0.08
2	ŋ	n	0.08
3	b	p	0.04
4	u	ɯ	0.04
5	tsʰ	tʰ	0.04
6	-	ŋ	0.04
7	²	¹	0.04
8	i	e	0.04
9	⁴	²	0.04
10	ʁ	ŋ	0.04
11	o	u	0.04
12	³	⁵	0.04
13	ɯ	ɯ̃	0.04
14	-	n	0.04
15	ŋ	-	0.04
16	sʰ	s	0.04
17	o	-	0.04
18	u	o	0.04
19	i	ɛ	0.04
20	j	æ	0.04
21	dʑ	ɖʐ	0.04
