	feature	gold	prediction	proportion
0	loreg	-	+	0.1067
1	lo	+	-	0.0686
2	voi	-	+	0.0629
3	hireg	+	-	0.0495
4	hi	-	+	0.0476
5	back	+	-	0.0476
6	falling	+	-	0.0457
7	hi	+	-	0.0438
8	voi	+	-	0.04
9	front	-	+	0.0362
10	tense	+	-	0.0343
11	lo	-	+	0.0286
12	tense	-	+	0.0286
13	round	+	-	0.021
14	dorsal	+	-	0.021
15	front	+	-	0.021
16	cg	+	-	0.019
17	hitone	+	-	0.0171
18	back	-	+	0.0171
19	hitone	-	+	0.0152
20	cg	-	+	0.0133
21	cor	+	-	0.0114
22	falling	-	+	0.0114
23	ant	NA	+	0.0114
24	dorsal	-	+	0.0095
25	distr	NA	-	0.0095
26	laryngeal	-	+	0.0095
27	distr	-	NA	0.0076
28	lab	-	+	0.0076
29	front	NA	-	0.0057
30	sg	+	-	0.0057
31	sg	-	+	0.0057
32	ant	+	NA	0.0057
33	syl	+	-	0.0038
34	delrel	NA	-	0.0038
35	dorsal	NA	+	0.0038
36	lab	NA	-	0.0038
37	syl	-	NA	0.0038
38	ant	NA	-	0.0038
39	distr	NA	+	0.0038
40	opening	NA	-	0.0038
41	closing	NA	+	0.0038
42	centering	NA	-	0.0038
43	lab	+	-	0.0038
44	backshift	-	NA	0.0038
45	frontshift	-	NA	0.0038
46	closing	+	NA	0.0038
47	centering	-	NA	0.0038
48	hireg	-	+	0.0038
49	cor	NA	-	0.0038
50	cont	-	+	0.0038
51	round	-	+	0.0038
52	hireg	+	NA	0.0019
53	falling	-	NA	0.0019
54	cor	NA	+	0.0019
55	cons	+	NA	0.0019
56	hi	-	NA	0.0019
57	velaric	-	NA	0.0019
58	long	-	NA	0.0019
59	hitone	NA	-	0.0019
60	backshift	NA	-	0.0019
61	secondrounded	-	NA	0.0019
62	laryngeal	-	NA	0.0019
63	lo	NA	+	0.0019
64	strid	NA	+	0.0019
65	laryngeal	+	-	0.0019
66	strid	NA	-	0.0019
67	ant	-	NA	0.0019
68	distr	+	NA	0.0019
69	cor	-	+	0.0019
70	frontshift	NA	-	0.0019
71	longdistance	NA	-	0.0019
72	distr	-	+	0.0019
73	secondrounded	+	NA	0.0019
