	Feature 1	Feature 2	proportion
0	hitone	loreg	0.0463
1	cg	lo	0.0643
2	cg	ant	0.0135
3	cg	distr	0.0164
4	lo	ant	0.0135
5	lo	distr	0.012
6	ant	distr	0.0448
7	hitone	hireg	0.0105
8	hireg	loreg	0.0149
9	syl	lo	0.0015
10	syl	tense	0.003
11	lo	tense	0.0105
12	cg	hi	0.006
13	cg	front	0.003
14	hi	lo	0.0344
15	hi	front	0.0179
16	hi	ant	0.012
17	hi	distr	0.012
18	lo	front	0.0045
19	front	ant	0.0164
20	front	distr	0.0135
21	sg	lo	0.012
22	sg	strid	0.0045
23	lo	strid	0.006
24	cons	dorsal	0.009
25	cons	hi	0.0105
26	cons	front	0.006
27	cons	ant	0.0045
28	cons	distr	0.006
29	dorsal	hi	0.0239
30	dorsal	front	0.009
31	dorsal	ant	0.003
32	dorsal	distr	0.003
33	hi	back	0.0179
34	hi	round	0.0045
35	back	front	0.0135
36	back	round	0.006
37	front	round	0.0045
38	cor	lab	0.012
39	cor	ant	0.0164
40	cor	distr	0.0164
41	lab	ant	0.0135
42	lab	distr	0.0135
43	sg	ant	0.012
44	voi	cor	0.003
45	voi	hitone	0.0045
46	cor	hitone	0.0015
47	sg	cg	0.009
48	voi	ant	0.0105
49	voi	cg	0.0224
50	voi	distr	0.006
51	cons	cont	0.003
52	cons	nas	0.003
53	cont	nas	0.003
54	dorsal	back	0.0179
55	dorsal	lo	0.0105
56	lo	back	0.0105
57	cons	son	0.006
58	cons	cg	0.006
59	son	cg	0.0045
60	voi	strid	0.006
61	cg	laryngeal	0.003
62	nas	dorsal	0.0015
63	nas	hi	0.0015
64	nas	back	0.0015
65	nas	front	0.0015
66	nas	ant	0.0015
67	back	ant	0.003
68	cons	round	0.0015
69	son	dorsal	0.0015
70	son	hi	0.003
71	son	round	0.0015
72	dorsal	round	0.0015
73	cons	strid	0.0015
74	son	strid	0.0015
75	cg	strid	0.0075
76	hi	strid	0.0015
77	backshift	opening	0.0045
78	backshift	secondrounded	0.003
79	opening	secondrounded	0.0045
80	cor	hi	0.003
81	cor	back	0.003
82	cor	front	0.003
83	back	distr	0.0015
84	delrel	lo	0.003
85	delrel	ant	0.006
86	delrel	distr	0.009
87	delrel	strid	0.0075
88	ant	strid	0.003
89	distr	strid	0.006
90	lab	front	0.0045
91	backshift	frontshift	0.0015
92	backshift	closing	0.003
93	backshift	centering	0.003
94	frontshift	opening	0.0045
95	frontshift	closing	0.0045
96	frontshift	centering	0.0045
97	frontshift	secondrounded	0.003
98	opening	closing	0.0075
99	opening	centering	0.0075
100	closing	centering	0.0075
101	closing	secondrounded	0.003
102	centering	secondrounded	0.003
103	cor	loreg	0.0045
104	sg	distr	0.006
105	cg	dorsal	0.0015
106	cg	back	0.0015
107	laryngeal	dorsal	0.0015
108	laryngeal	hi	0.0015
109	laryngeal	lo	0.0015
110	laryngeal	back	0.0015
111	dorsal	lab	0.003
112	lab	back	0.003
113	hi	frontshift	0.0015
114	lo	round	0.0015
115	lo	frontshift	0.0015
116	front	frontshift	0.0015
117	round	frontshift	0.0015
118	delrel	nas	0.0015
119	nas	strid	0.0015
120	delrel	cor	0.003
121	delrel	hi	0.0015
122	delrel	tense	0.0015
123	cor	tense	0.0015
124	hi	tense	0.0015
125	tense	ant	0.0015
126	tense	distr	0.0015
127	delrel	voi	0.0045
128	backshift	longdistance	0.0015
129	opening	longdistance	0.006
130	closing	longdistance	0.006
131	centering	longdistance	0.006
132	delrel	sg	0.0045
133	lab	hi	0.0015
134	frontshift	longdistance	0.003
135	longdistance	secondrounded	0.0015
136	delrel	cg	0.006
137	nas	voi	0.0015
138	lo	closing	0.0015
139	strid	closing	0.003
140	voi	loreg	0.0015
141	voi	rising	0.0015
142	cor	rising	0.0015
143	loreg	rising	0.0015
144	syl	front	0.0015
145	front	tense	0.0015
146	delrel	closing	0.0015
147	sg	closing	0.0015
148	cg	closing	0.0015
149	distr	closing	0.0015
150	voi	lo	0.003
151	cons	lo	0.0015
152	delrel	dorsal	0.0015
153	delrel	back	0.0015
154	delrel	loreg	0.0015
155	cor	dorsal	0.0015
156	dorsal	loreg	0.0015
157	back	loreg	0.0015
158	son	front	0.0015
159	voi	long	0.0015
160	long	ant	0.0015
