	Feature 1	Feature 2	proportion
0	hi	lo	0.0073
1	hi	tense	0.022
2	lo	tense	0.023
3	nas	tense	0.0021
4	nas	long	0.0021
5	tense	long	0.1328
6	son	cont	0.0115
7	son	long	0.0031
8	cont	long	0.0021
9	cont	nas	0.0084
10	cont	cor	0.0031
11	cont	lab	0.0073
12	cont	ant	0.0084
13	cont	distr	0.0052
14	nas	cor	0.001
15	nas	lab	0.0052
16	nas	ant	0.0021
17	nas	distr	0.001
18	cor	lab	0.0115
19	cor	ant	0.0167
20	cor	distr	0.0167
21	lab	ant	0.0094
22	lab	distr	0.0084
23	ant	distr	0.0262
24	cont	sg	0.0031
25	cont	strid	0.0063
26	sg	strid	0.0042
27	hi	long	0.0241
28	front	round	0.0188
29	tense	round	0.0094
30	son	nas	0.0052
31	syl	cont	0.0021
32	syl	nas	0.001
33	syl	lab	0.0052
34	syl	tense	0.0126
35	syl	ant	0.001
36	cont	tense	0.0021
37	lab	tense	0.0042
38	tense	ant	0.0021
39	syl	delrel	0.0073
40	syl	cor	0.0052
41	syl	dorsal	0.0073
42	syl	front	0.0021
43	delrel	cor	0.0063
44	delrel	dorsal	0.0063
45	delrel	lab	0.0031
46	delrel	front	0.0021
47	cor	dorsal	0.0084
48	cor	front	0.0031
49	dorsal	lab	0.0105
50	dorsal	front	0.0105
51	lab	front	0.0052
52	cons	syl	0.0031
53	cons	cor	0.0021
54	cons	hi	0.0052
55	cons	tense	0.0042
56	cons	round	0.0021
57	syl	hi	0.0021
58	syl	round	0.0021
59	cor	hi	0.0042
60	cor	tense	0.0042
61	cor	round	0.0021
62	hi	round	0.0178
63	lat	long	0.001
64	son	voi	0.0115
65	nas	voi	0.0021
66	son	strid	0.0031
67	hi	back	0.0188
68	hi	front	0.0251
69	hi	ant	0.0073
70	hi	distr	0.0073
71	back	front	0.0241
72	back	ant	0.0031
73	back	distr	0.0021
74	front	ant	0.0052
75	front	distr	0.0063
76	dorsal	hi	0.0126
77	dorsal	back	0.0052
78	lab	hi	0.0052
79	lab	back	0.0042
80	lo	long	0.0094
81	son	front	0.0042
82	cont	front	0.0031
83	cons	cont	0.0073
84	cons	nas	0.001
85	cons	dorsal	0.0084
86	cons	lab	0.0052
87	cont	dorsal	0.0031
88	cont	hi	0.001
89	nas	dorsal	0.001
90	nas	hi	0.001
91	dorsal	round	0.0031
92	lab	round	0.0021
93	lo	back	0.001
94	lo	front	0.0031
95	lo	round	0.0021
96	back	tense	0.0063
97	back	round	0.0188
98	front	tense	0.0073
99	cor	back	0.0031
100	cont	voi	0.0063
101	son	cor	0.0021
102	son	dorsal	0.0052
103	son	ant	0.0042
104	son	distr	0.0042
105	dorsal	ant	0.0094
106	dorsal	distr	0.0094
107	cons	back	0.001
108	cons	front	0.0031
109	cont	back	0.0021
110	son	delrel	0.0021
111	son	hi	0.0031
112	delrel	hi	0.0021
113	syl	distr	0.001
114	delrel	tense	0.0063
115	delrel	round	0.0021
116	dorsal	tense	0.0063
117	voi	long	0.0021
118	voi	strid	0.0031
119	long	strid	0.001
120	cons	delrel	0.001
121	back	backshift	0.001
122	back	frontshift	0.001
123	back	closing	0.001
124	back	longdistance	0.001
125	tense	backshift	0.001
126	tense	frontshift	0.001
127	tense	closing	0.001
128	tense	longdistance	0.001
129	backshift	frontshift	0.001
130	backshift	closing	0.001
131	backshift	longdistance	0.001
132	frontshift	closing	0.0031
133	frontshift	longdistance	0.0021
134	closing	longdistance	0.0021
135	syl	son	0.0031
136	syl	long	0.001
137	son	tense	0.0031
138	delrel	long	0.001
139	front	long	0.0031
140	frontshift	opening	0.0021
141	frontshift	centering	0.001
142	opening	closing	0.0021
143	opening	centering	0.001
144	opening	longdistance	0.001
145	closing	centering	0.001
146	centering	longdistance	0.001
147	syl	voi	0.0021
148	son	lab	0.0031
149	voi	lab	0.0042
150	voi	tense	0.0021
151	cons	ant	0.0063
152	cons	distr	0.0052
153	cor	strid	0.0021
154	ant	strid	0.0021
155	distr	strid	0.0021
156	voi	dorsal	0.0021
157	voi	front	0.0021
158	back	long	0.0021
159	round	long	0.0042
160	delrel	ant	0.001
161	delrel	distr	0.001
162	delrel	strid	0.001
163	dorsal	strid	0.001
164	delrel	back	0.001
165	voi	back	0.001
166	voi	round	0.001
167	voi	cor	0.001
168	voi	ant	0.001
169	voi	distr	0.001
170	lab	long	0.0021
171	cons	son	0.0042
172	cons	voi	0.0042
173	cont	laryngeal	0.001
174	cont	lo	0.001
175	voi	laryngeal	0.001
176	voi	lo	0.001
177	laryngeal	lab	0.001
178	laryngeal	lo	0.001
179	laryngeal	strid	0.001
180	lab	lo	0.001
181	lab	strid	0.001
182	lo	strid	0.001
183	cons	long	0.001
184	round	distr	0.001
185	son	back	0.0021
186	son	round	0.001
187	cons	lo	0.001
188	dorsal	lo	0.001
189	lo	ant	0.001
190	lo	distr	0.001
191	tense	distr	0.001
