	feature	gold	prediction	proportion
0	hi	-	+	0.0979
1	hi	+	-	0.0699
2	front	+	-	0.0629
3	back	+	-	0.0629
4	loreg	-	+	0.0629
5	round	+	-	0.0559
6	front	-	+	0.049
7	hitone	+	-	0.042
8	ant	-	+	0.028
9	voi	-	+	0.028
10	sg	+	-	0.028
11	loreg	+	-	0.028
12	hitone	-	+	0.028
13	lo	-	+	0.021
14	distr	+	-	0.021
15	strid	NA	+	0.021
16	tense	-	+	0.021
17	sg	-	+	0.021
18	lo	+	-	0.021
19	ant	+	-	0.021
20	distr	-	+	0.021
21	tense	+	-	0.021
22	cont	-	+	0.014
23	delrel	-	+	0.014
24	back	-	+	0.014
25	round	-	+	0.014
26	dorsal	+	-	0.014
27	strid	-	NA	0.014
28	voi	+	-	0.007
29	dorsal	-	+	0.007
30	front	-	NA	0.007
31	round	-	NA	0.007
32	lab	+	-	0.007
33	tense	NA	+	0.007
34	cg	+	-	0.007
35	nas	NA	+	0.007
36	syl	+	-	0.007
37	son	-	+	0.007
38	cont	+	-	0.007
39	strid	+	NA	0.007
