	feature	gold	prediction	proportion
0	hi	-	+	0.0533
1	hi	+	-	0.0509
2	front	-	+	0.0503
3	lo	+	-	0.0467
4	hitone	+	-	0.0423
5	front	+	-	0.0418
6	back	+	-	0.0402
7	tense	+	-	0.0348
8	long	+	-	0.0304
9	voi	+	-	0.0296
10	tense	-	+	0.0291
11	lo	-	+	0.0248
12	dorsal	+	-	0.0242
13	round	+	-	0.0239
14	cg	+	-	0.0209
15	loreg	+	-	0.0205
16	loreg	-	+	0.0199
17	strid	+	NA	0.0198
18	voi	-	+	0.0175
19	distr	NA	-	0.0173
20	cor	-	+	0.0161
21	long	-	+	0.0159
22	ant	NA	+	0.014
23	back	-	+	0.0139
24	delrel	+	-	0.0134
25	round	-	+	0.0112
26	ant	-	+	0.0111
27	hireg	+	-	0.0107
28	cont	+	-	0.0104
29	ant	+	NA	0.0098
30	distr	-	NA	0.0093
31	hitone	-	+	0.009
32	distr	NA	+	0.0083
33	cg	-	+	0.0078
34	ant	+	-	0.0078
35	distr	+	-	0.0078
36	sg	+	-	0.0078
37	cont	-	+	0.0078
38	dorsal	-	+	0.0077
39	cons	-	+	0.0076
40	cor	+	-	0.0076
41	distr	-	+	0.0074
42	lab	-	+	0.007
43	strid	NA	+	0.0061
44	sg	-	+	0.0056
45	cons	+	-	0.0051
46	closing	NA	+	0.0048
47	nas	-	+	0.0048
48	ant	NA	-	0.0046
49	lab	+	-	0.0044
50	ant	-	NA	0.0043
51	son	+	-	0.0042
52	hireg	-	+	0.0042
53	frontshift	-	NA	0.0042
54	delrel	NA	-	0.0039
55	distr	+	NA	0.0039
56	lab	NA	-	0.0039
57	falling	-	+	0.0033
58	strid	-	NA	0.0031
59	cor	NA	+	0.0027
60	longdistance	-	NA	0.0026
61	son	-	+	0.0024
62	tense	NA	+	0.0024
63	laryngeal	-	+	0.0024
64	strid	NA	-	0.0023
65	nas	+	-	0.0023
66	secondrounded	-	NA	0.0022
67	falling	+	-	0.0021
68	syl	+	-	0.002
69	backshift	NA	-	0.0017
70	dorsal	NA	+	0.0016
71	delrel	-	+	0.0015
72	strid	-	+	0.0015
73	dorsal	+	NA	0.0014
74	syl	-	+	0.0014
75	lat	-	+	0.0014
76	laryngeal	+	-	0.0012
77	front	-	NA	0.0012
78	cor	+	NA	0.0012
79	strid	+	-	0.0012
80	longdistance	+	NA	0.0012
81	opening	NA	-	0.0011
82	tense	+	NA	0.0011
83	centering	-	NA	0.0011
84	lat	+	-	0.0011
85	frontshift	NA	-	0.0008
86	dorsal	NA	-	0.0008
87	tense	-	NA	0.0008
88	lab	-	NA	0.0007
89	delrel	-	NA	0.0007
90	voi	NA	+	0.0007
91	back	NA	+	0.0007
92	cont	-	NA	0.0007
93	dorsal	-	NA	0.0007
94	opening	-	NA	0.0007
95	closing	+	NA	0.0006
96	secondrounded	+	NA	0.0006
97	round	-	NA	0.0005
98	cg	-	NA	0.0005
99	backshift	-	NA	0.0005
100	frontshift	+	-	0.0004
101	closing	-	+	0.0004
102	hi	NA	+	0.0004
103	loreg	+	NA	0.0004
104	nas	NA	+	0.0004
105	tense	NA	-	0.0004
106	secondrounded	NA	-	0.0003
107	front	NA	-	0.0003
108	lat	-	NA	0.0003
109	falling	NA	-	0.0003
110	cor	NA	-	0.0003
111	long	-	NA	0.0002
112	round	+	NA	0.0002
113	hi	-	NA	0.0002
114	lo	-	NA	0.0002
115	back	+	NA	0.0002
116	hireg	NA	-	0.0002
117	round	NA	-	0.0002
118	hitone	-	NA	0.0002
119	rising	-	NA	0.0002
120	backshift	NA	+	0.0002
121	cor	-	NA	0.0002
122	centering	+	-	0.0001
123	lab	NA	+	0.0001
124	centering	+	NA	0.0001
125	backshift	+	NA	0.0001
126	lab	+	NA	0.0001
127	centering	NA	+	0.0
