	Feature 1	Feature 2	proportion
0	voi	strid	0.009
1	hi	back	0.045
2	hi	front	0.0486
3	hi	round	0.0477
4	back	front	0.0674
5	back	round	0.0647
6	front	round	0.0576
7	hitone	loreg	0.0279
8	lo	back	0.0243
9	lo	front	0.0216
10	lo	round	0.0225
11	cont	back	0.0018
12	cont	front	0.0018
13	cont	round	0.0009
14	cont	long	0.0009
15	back	long	0.0018
16	front	long	0.0018
17	round	long	0.0018
18	cont	strid	0.0144
19	cont	delrel	0.0063
20	cont	voi	0.0081
21	cont	sg	0.0108
22	delrel	voi	0.0045
23	delrel	sg	0.0054
24	voi	sg	0.009
25	cont	nas	0.0009
26	cont	hi	0.0009
27	nas	hi	0.0009
28	nas	back	0.0018
29	nas	front	0.0009
30	back	distr	0.0054
31	round	distr	0.0009
32	cg	lo	0.0234
33	cont	rising	0.0009
34	hi	lo	0.0261
35	ant	distr	0.0351
36	cg	cor	0.0009
37	cg	back	0.0018
38	cg	ant	0.0009
39	cg	distr	0.0009
40	cor	lo	0.0018
41	cor	back	0.0045
42	cor	ant	0.0072
43	cor	distr	0.0072
44	lo	ant	0.0027
45	lo	distr	0.0027
46	back	ant	0.0045
47	syl	tense	0.0027
48	delrel	lab	0.0018
49	lo	tense	0.0135
50	nas	voi	0.0009
51	nas	hitone	0.0009
52	nas	loreg	0.0009
53	nas	falling	0.0009
54	voi	back	0.0018
55	voi	hitone	0.0009
56	voi	loreg	0.0009
57	voi	falling	0.0009
58	back	hitone	0.0009
59	back	loreg	0.0009
60	back	falling	0.0009
61	hitone	falling	0.0018
62	loreg	falling	0.0027
63	hi	tense	0.009
64	voi	hi	0.0018
65	voi	distr	0.0054
66	hi	distr	0.0099
67	hi	strid	0.0081
68	distr	strid	0.0072
69	dorsal	back	0.0054
70	front	tense	0.0072
71	son	back	0.0045
72	son	front	0.0018
73	dorsal	ant	0.0108
74	dorsal	distr	0.0099
75	laryngeal	front	0.0027
76	cor	lab	0.0027
77	lab	ant	0.0018
78	lab	distr	0.0018
79	tense	backshift	0.0018
80	tense	closing	0.0018
81	tense	centering	0.0018
82	tense	secondrounded	0.0018
83	backshift	closing	0.0036
84	backshift	centering	0.0027
85	backshift	secondrounded	0.0036
86	closing	centering	0.0027
87	closing	secondrounded	0.0036
88	centering	secondrounded	0.0027
89	tense	round	0.0054
90	delrel	strid	0.0072
91	son	round	0.0027
92	back	tense	0.0054
93	voi	cg	0.0009
94	voi	lo	0.0027
95	dorsal	hi	0.0144
96	dorsal	strid	0.0072
97	nas	tense	0.0045
98	hi	ant	0.009
99	voi	laryngeal	0.0009
100	voi	dorsal	0.0009
101	laryngeal	dorsal	0.0009
102	laryngeal	hi	0.0018
103	laryngeal	lo	0.0018
104	laryngeal	back	0.0027
105	dorsal	lo	0.0009
106	voi	front	0.0009
107	dorsal	lab	0.0045
108	dorsal	front	0.0072
109	front	ant	0.009
110	front	distr	0.009
111	cor	dorsal	0.0036
112	syl	delrel	0.0027
113	syl	dorsal	0.0018
114	syl	front	0.0009
115	syl	ant	0.0009
116	delrel	dorsal	0.0027
117	delrel	front	0.0036
118	delrel	tense	0.0036
119	delrel	ant	0.0063
120	dorsal	tense	0.0009
121	tense	ant	0.0027
122	ant	strid	0.0054
123	front	strid	0.0054
124	sg	ant	0.0018
125	sg	strid	0.0063
126	dorsal	loreg	0.0009
127	lab	loreg	0.0009
128	laryngeal	round	0.0009
129	delrel	distr	0.0063
130	tense	distr	0.0018
131	hi	velaric	0.0018
132	hi	long	0.0009
133	velaric	long	0.0009
134	cont	ant	0.0009
135	cont	distr	0.0009
136	voi	ant	0.0036
137	backshift	opening	0.0009
138	opening	closing	0.0009
139	opening	secondrounded	0.0009
140	sg	hitone	0.0009
141	sg	rising	0.0009
142	sg	contour	0.0009
143	hitone	rising	0.0009
144	hitone	contour	0.0009
145	rising	contour	0.0009
146	delrel	back	0.0009
147	delrel	round	0.0009
148	delrel	hi	0.0009
149	laryngeal	cor	0.0009
150	laryngeal	ant	0.0018
151	laryngeal	distr	0.0018
152	laryngeal	strid	0.0009
153	cor	front	0.0009
154	cor	strid	0.0009
155	lo	strid	0.0018
156	lat	hitone	0.0009
157	cg	laryngeal	0.0009
158	son	dorsal	0.0009
159	son	lab	0.0009
160	son	strid	0.0009
161	dorsal	round	0.0009
162	lab	back	0.0009
163	lab	round	0.0009
164	lab	strid	0.0009
165	back	strid	0.0009
166	round	strid	0.0009
167	cor	hi	0.0018
168	cont	lo	0.0009
169	sg	lo	0.0009
170	syl	cor	0.0018
171	syl	lab	0.0009
172	delrel	cor	0.0018
173	lab	hi	0.0009
174	syl	nas	0.0009
175	syl	lo	0.0009
176	delrel	nas	0.0009
177	delrel	lo	0.0009
178	nas	cor	0.0009
179	nas	lo	0.0009
180	cor	tense	0.0009
