	Feature 1	Feature 2	proportion
0	dorsal	hi	0.0349
1	dorsal	ant	0.044
2	dorsal	distr	0.044
3	dorsal	strid	0.0056
4	hi	ant	0.0338
5	hi	distr	0.0349
6	hi	strid	0.0113
7	ant	distr	0.0598
8	ant	strid	0.0158
9	distr	strid	0.0068
10	nas	lo	0.0023
11	nas	back	0.0034
12	nas	front	0.0011
13	nas	round	0.0011
14	lo	back	0.0023
15	lo	front	0.0023
16	lo	round	0.0023
17	back	front	0.0147
18	back	round	0.0124
19	front	round	0.0113
20	hi	back	0.0056
21	hi	front	0.0248
22	hi	round	0.0056
23	front	ant	0.0395
24	delrel	cor	0.0068
25	delrel	lo	0.0011
26	cor	lo	0.0011
27	hitone	loreg	0.0101
28	sg	strid	0.0045
29	cor	dorsal	0.0056
30	cor	lab	0.0056
31	cor	ant	0.0147
32	cor	distr	0.0147
33	dorsal	lab	0.009
34	lab	ant	0.0045
35	lab	distr	0.0079
36	cons	cont	0.0011
37	hireg	loreg	0.0113
38	dorsal	front	0.0203
39	front	distr	0.0271
40	hi	tense	0.0079
41	front	tense	0.0147
42	loreg	falling	0.0011
43	cont	voi	0.0034
44	cont	lo	0.0056
45	cont	strid	0.0158
46	voi	lo	0.0045
47	voi	strid	0.0045
48	lo	strid	0.0068
49	back	tense	0.0113
50	delrel	tense	0.0045
51	cor	tense	0.0056
52	lo	tense	0.0034
53	cor	back	0.0079
54	cor	round	0.0011
55	back	ant	0.0068
56	back	distr	0.0068
57	round	ant	0.0045
58	round	distr	0.0023
59	delrel	dorsal	0.0068
60	delrel	lab	0.0034
61	delrel	back	0.0034
62	dorsal	back	0.0056
63	dorsal	tense	0.0079
64	lab	back	0.0034
65	lab	tense	0.0068
66	syl	son	0.0011
67	syl	voi	0.0011
68	syl	lo	0.0011
69	syl	hitone	0.0011
70	son	voi	0.0011
71	son	lo	0.0023
72	son	hitone	0.0011
73	voi	hitone	0.0011
74	lo	hitone	0.0011
75	cons	front	0.0113
76	tense	round	0.0045
77	cons	dorsal	0.018
78	cons	hi	0.0135
79	cons	ant	0.0225
80	cons	distr	0.018
81	cont	dorsal	0.0034
82	cont	hi	0.0079
83	cont	ant	0.0068
84	cont	distr	0.0056
85	hi	lo	0.0101
86	dorsal	round	0.0011
87	tense	ant	0.0068
88	tense	distr	0.009
89	voi	hi	0.0034
90	front	strid	0.0068
91	cons	delrel	0.0011
92	delrel	hi	0.0011
93	delrel	ant	0.0079
94	delrel	distr	0.0011
95	cont	sg	0.0011
96	sg	hi	0.0011
97	sg	lo	0.0011
98	delrel	front	0.0045
99	delrel	strid	0.0079
100	cor	front	0.0045
101	cor	strid	0.0011
102	back	strid	0.0011
103	voi	dorsal	0.0034
104	voi	ant	0.0023
105	voi	distr	0.0011
106	hitone	hireg	0.0023
107	son	cont	0.0023
108	son	nas	0.0011
109	son	hi	0.0023
110	son	strid	0.0011
111	cont	nas	0.0023
112	nas	hi	0.0011
113	nas	strid	0.0011
114	lab	hi	0.0023
115	cons	cor	0.0023
116	cor	hi	0.0011
117	son	front	0.0011
118	son	round	0.0011
119	hireg	falling	0.0034
120	cons	round	0.0023
121	nas	distr	0.0034
122	delrel	hitone	0.0011
123	delrel	loreg	0.0011
124	cont	front	0.0034
125	syl	front	0.0011
126	syl	tense	0.0023
127	syl	ant	0.0011
128	syl	distr	0.0011
129	syl	delrel	0.0011
130	syl	dorsal	0.0011
131	syl	lab	0.0011
132	cont	back	0.0023
133	cons	nas	0.0011
134	cons	lab	0.0011
135	nas	cor	0.0023
136	nas	lab	0.0011
137	nas	ant	0.0023
138	hitone	falling	0.0023
139	voi	sg	0.0011
140	voi	front	0.0011
141	sg	front	0.0011
142	sg	ant	0.0011
143	delrel	voi	0.0011
144	voi	cor	0.0011
145	lab	front	0.0011
146	cont	delrel	0.0023
147	laryngeal	dorsal	0.0011
148	laryngeal	back	0.0011
149	cont	cor	0.0023
150	son	cor	0.0011
151	son	lab	0.0011
152	son	ant	0.0011
153	son	distr	0.0011
154	cont	lab	0.0011
155	son	back	0.0011
