	Feature 1	Feature 2	proportion
0	delrel	cor	0.0061
1	front	ant	0.0385
2	front	strid	0.0061
3	ant	strid	0.0101
4	front	round	0.0162
5	round	ant	0.0081
6	hitone	hireg	0.0081
7	hitone	loreg	0.0223
8	delrel	dorsal	0.002
9	dorsal	hi	0.0445
10	dorsal	front	0.0263
11	dorsal	ant	0.0445
12	dorsal	distr	0.0385
13	hi	front	0.0223
14	hi	ant	0.0425
15	hi	distr	0.0425
16	front	distr	0.0263
17	ant	distr	0.0587
18	hi	back	0.0101
19	hireg	loreg	0.0121
20	laryngeal	dorsal	0.002
21	laryngeal	lo	0.002
22	laryngeal	back	0.002
23	dorsal	lo	0.002
24	dorsal	back	0.0081
25	lo	back	0.0081
26	cont	voi	0.004
27	cont	strid	0.0202
28	voi	strid	0.0061
29	sg	strid	0.002
30	cons	dorsal	0.0121
31	cons	hi	0.0101
32	cons	round	0.004
33	cons	ant	0.0142
34	cons	distr	0.0121
35	dorsal	round	0.004
36	hi	round	0.002
37	round	distr	0.0061
38	lo	tense	0.0081
39	back	distr	0.0101
40	back	tense	0.0081
41	back	round	0.0182
42	tense	round	0.0061
43	cor	back	0.0101
44	cor	ant	0.0101
45	cor	distr	0.0142
46	back	ant	0.0081
47	voi	dorsal	0.0061
48	voi	back	0.004
49	hi	tense	0.0081
50	lab	front	0.004
51	voi	front	0.002
52	back	front	0.0202
53	voi	hi	0.0061
54	cor	tense	0.0061
55	cor	dorsal	0.004
56	cor	hi	0.004
57	cor	front	0.0081
58	nas	lo	0.004
59	nas	back	0.002
60	nas	front	0.002
61	nas	round	0.002
62	lo	front	0.004
63	lo	round	0.0061
64	son	cont	0.002
65	son	nas	0.002
66	son	hi	0.002
67	son	lo	0.002
68	son	strid	0.002
69	cont	nas	0.004
70	cont	hi	0.0061
71	cont	lo	0.004
72	nas	hi	0.002
73	nas	strid	0.002
74	hi	lo	0.0101
75	hi	strid	0.0101
76	lo	strid	0.0061
77	cons	syl	0.0061
78	cons	front	0.004
79	syl	dorsal	0.002
80	syl	front	0.002
81	syl	round	0.002
82	cont	delrel	0.004
83	cont	front	0.004
84	cont	ant	0.0081
85	delrel	front	0.004
86	delrel	ant	0.004
87	delrel	strid	0.0061
88	cont	dorsal	0.002
89	cont	distr	0.004
90	cor	round	0.002
91	front	tense	0.0081
92	voi	ant	0.002
93	voi	distr	0.002
94	dorsal	strid	0.004
95	distr	strid	0.004
96	hitone	falling	0.002
97	cons	tense	0.0061
98	syl	tense	0.004
99	cons	back	0.002
100	tense	ant	0.0061
101	tense	distr	0.0061
102	voi	lo	0.002
103	delrel	lab	0.004
104	delrel	back	0.002
105	cor	lab	0.004
106	lab	back	0.002
107	son	front	0.002
108	son	round	0.002
109	nas	ant	0.002
110	nas	distr	0.002
111	cont	lat	0.002
112	cont	cg	0.002
113	cont	round	0.002
114	cont	falling	0.002
115	lat	cg	0.002
116	lat	front	0.002
117	lat	round	0.002
118	lat	falling	0.002
119	cg	front	0.002
120	cg	round	0.002
121	cg	falling	0.002
122	front	falling	0.002
123	round	falling	0.002
124	hireg	falling	0.002
