	feature	gold	prediction	proportion
0	dorsal	-	+	0.0706
1	hi	-	+	0.0706
2	ant	+	-	0.0588
3	hitone	+	-	0.0588
4	hi	+	-	0.0588
5	front	+	-	0.0588
6	hireg	-	+	0.0353
7	front	-	+	0.0353
8	back	-	+	0.0353
9	cons	+	-	0.0235
10	lo	-	+	0.0235
11	tense	-	+	0.0235
12	round	+	-	0.0235
13	strid	+	-	0.0235
14	sg	+	-	0.0235
15	delrel	+	-	0.0235
16	strid	+	NA	0.0235
17	cont	+	-	0.0235
18	dorsal	+	NA	0.0235
19	ant	-	NA	0.0235
20	distr	+	NA	0.0235
21	voi	+	-	0.0118
22	falling	-	+	0.0118
23	loreg	+	-	0.0118
24	cont	-	+	0.0118
25	ant	-	+	0.0118
26	strid	-	+	0.0118
27	cons	-	+	0.0118
28	hireg	+	-	0.0118
29	sg	-	+	0.0118
30	lo	+	-	0.0118
31	lab	-	NA	0.0118
32	nas	-	+	0.0118
33	cons	NA	+	0.0118
34	cor	NA	-	0.0118
35	hi	NA	+	0.0118
36	hitone	+	NA	0.0118
37	loreg	+	NA	0.0118
38	ant	+	NA	0.0118
39	lo	-	NA	0.0118
40	dorsal	+	-	0.0118
