	feature	gold	prediction	proportion
0	long	+	-	0.1923
1	tense	+	-	0.1167
2	tense	-	+	0.0654
3	long	-	+	0.0634
4	hi	+	-	0.049
5	hi	-	+	0.0427
6	back	+	-	0.0309
7	front	-	+	0.0255
8	round	+	-	0.0235
9	cont	-	+	0.0201
10	front	+	-	0.0169
11	distr	-	NA	0.0154
12	ant	+	NA	0.0149
13	voi	-	+	0.0147
14	cor	-	+	0.0146
15	voi	+	-	0.0133
16	cont	+	-	0.0127
17	son	+	-	0.0126
18	lo	-	+	0.0124
19	distr	NA	-	0.0122
20	lab	+	-	0.0114
21	dorsal	-	+	0.0114
22	cons	-	+	0.0112
23	cor	+	-	0.0112
24	ant	NA	+	0.0108
25	back	-	+	0.0106
26	lo	+	-	0.0102
27	son	-	+	0.0099
28	sg	+	-	0.0089
29	round	-	+	0.0075
30	strid	NA	+	0.0074
31	lab	-	+	0.0071
32	nas	+	-	0.0066
33	dorsal	+	-	0.0064
34	cons	+	-	0.0063
35	strid	+	NA	0.0058
36	tense	-	NA	0.0054
37	ant	NA	-	0.0049
38	syl	-	+	0.0049
39	nas	-	+	0.0048
40	distr	NA	+	0.0047
41	lab	NA	-	0.0046
42	lat	-	+	0.0043
43	delrel	-	NA	0.0042
44	syl	+	-	0.0039
45	cor	NA	+	0.0039
46	centering	+	-	0.0031
47	lat	+	-	0.0031
48	cor	-	NA	0.0031
49	dorsal	+	NA	0.0031
50	tense	NA	-	0.0028
51	delrel	NA	-	0.0027
52	tense	+	NA	0.0024
53	lab	-	NA	0.0022
54	dorsal	-	NA	0.002
55	cor	NA	-	0.0018
56	dorsal	NA	-	0.0018
57	cor	+	NA	0.0018
58	distr	+	NA	0.0017
59	ant	+	-	0.0017
60	lab	+	NA	0.0012
61	distr	-	+	0.0012
62	ant	-	NA	0.0011
63	dorsal	NA	+	0.0009
64	centering	+	NA	0.0008
65	tense	NA	+	0.0007
66	opening	-	NA	0.0004
67	longdistance	+	NA	0.0004
68	ant	-	+	0.0003
69	distr	+	-	0.0003
70	lab	NA	+	0.0003
71	laryngeal	+	-	0.0002
72	strid	-	NA	0.0002
73	closing	NA	+	0.0001
74	laryngeal	-	+	0.0001
75	closing	+	NA	0.0001
76	secondrounded	-	NA	0.0001
77	backshift	+	NA	0.0001
