	feature	gold	prediction	proportion
0	hi	-	+	0.0629
1	front	+	-	0.0475
2	hi	+	-	0.0465
3	lo	+	-	0.0456
4	front	-	+	0.0411
5	hitone	+	-	0.0354
6	back	+	-	0.0352
7	loreg	-	+	0.0341
8	long	+	-	0.0321
9	tense	-	+	0.0316
10	tense	+	-	0.0292
11	lo	-	+	0.0272
12	voi	+	-	0.0248
13	loreg	+	-	0.0226
14	back	-	+	0.019
15	voi	-	+	0.0176
16	round	+	-	0.0171
17	hireg	+	-	0.0165
18	cg	+	-	0.0159
19	dorsal	-	+	0.0144
20	hitone	-	+	0.0133
21	distr	-	+	0.0133
22	ant	+	-	0.0132
23	round	-	+	0.0123
24	cont	-	+	0.0121
25	delrel	+	-	0.0118
26	dorsal	+	-	0.0116
27	long	-	+	0.011
28	cons	-	+	0.0105
29	cont	+	-	0.0099
30	son	+	-	0.0098
31	strid	NA	-	0.0094
32	ant	NA	-	0.009
33	ant	-	+	0.0087
34	strid	+	NA	0.0084
35	laryngeal	+	-	0.0084
36	sg	-	+	0.0081
37	falling	-	+	0.0079
38	falling	+	-	0.0078
39	ant	+	NA	0.0076
40	strid	NA	+	0.0076
41	sg	+	-	0.0075
42	distr	-	NA	0.0074
43	cg	-	+	0.0072
44	cor	+	-	0.0063
45	distr	NA	-	0.0063
46	cor	-	+	0.0063
47	cons	+	-	0.0062
48	ant	NA	+	0.0061
49	nas	-	+	0.0058
50	strid	-	NA	0.0058
51	distr	NA	+	0.0051
52	distr	+	-	0.0051
53	lab	-	+	0.0048
54	delrel	NA	-	0.0046
55	lab	NA	-	0.0043
56	lab	+	-	0.0037
57	hireg	-	+	0.0035
58	distr	+	NA	0.0034
59	delrel	-	+	0.0031
60	tense	NA	+	0.0029
61	dorsal	NA	+	0.0027
62	lab	-	NA	0.0026
63	son	-	+	0.0026
64	ant	-	NA	0.0026
65	nas	+	-	0.0023
66	strid	-	+	0.0023
67	cor	NA	-	0.0022
68	cor	NA	+	0.0022
69	syl	-	+	0.002
70	strid	+	-	0.002
71	dorsal	+	NA	0.0019
72	closing	NA	+	0.0018
73	laryngeal	-	+	0.0018
74	syl	+	-	0.0016
75	centering	-	NA	0.0015
76	dorsal	NA	-	0.0015
77	cor	+	NA	0.0014
78	closing	+	NA	0.0013
79	backshift	NA	-	0.0012
80	opening	NA	-	0.0012
81	centering	NA	-	0.0012
82	voi	NA	-	0.0011
83	loreg	+	NA	0.0011
84	falling	-	NA	0.0011
85	tense	-	NA	0.0011
86	opening	-	NA	0.001
87	secondrounded	NA	-	0.001
88	delrel	-	NA	0.001
89	front	NA	-	0.001
90	laryngeal	-	NA	0.0009
91	backshift	-	NA	0.0009
92	frontshift	-	NA	0.0009
93	tense	NA	-	0.0009
94	frontshift	NA	-	0.0008
95	tense	+	NA	0.0008
96	longdistance	+	NA	0.0007
97	hitone	+	NA	0.0007
98	dorsal	-	NA	0.0007
99	lat	-	+	0.0007
100	secondrounded	-	NA	0.0006
101	hi	-	NA	0.0006
102	velaric	-	NA	0.0006
103	syl	-	NA	0.0006
104	voi	NA	+	0.0005
105	lo	NA	+	0.0005
106	centering	+	-	0.0005
107	lat	+	-	0.0005
108	cor	-	NA	0.0005
109	cg	-	NA	0.0004
110	long	-	NA	0.0004
111	back	NA	+	0.0003
112	hitone	-	NA	0.0003
113	hireg	+	NA	0.0003
114	cons	+	NA	0.0003
115	hitone	NA	-	0.0003
116	longdistance	NA	-	0.0003
117	secondrounded	+	NA	0.0003
118	frontshift	+	NA	0.0002
119	closing	-	NA	0.0002
120	longdistance	-	NA	0.0002
121	rising	-	+	0.0002
122	rising	-	NA	0.0002
123	syl	NA	+	0.0002
124	son	NA	+	0.0002
125	lab	+	NA	0.0002
126	cont	NA	-	0.0001
127	round	-	NA	0.0001
128	nas	NA	+	0.0001
129	falling	NA	-	0.0001
130	hi	+	NA	0.0001
131	sg	NA	-	0.0001
132	contour	-	NA	0.0001
133	delrel	NA	+	0.0001
134	lat	NA	-	0.0001
135	centering	+	NA	0.0001
136	lab	NA	+	0.0001
137	backshift	+	NA	0.0
