	feature	gold	prediction	proportion
0	voi	+	-	0.1304
1	lo	+	-	0.087
2	hitone	+	-	0.0652
3	hi	+	-	0.0652
4	cg	+	-	0.0652
5	sg	-	+	0.0652
6	cons	-	+	0.0435
7	nas	-	+	0.0435
8	front	-	+	0.0435
9	voi	-	+	0.0435
10	distr	NA	-	0.0217
11	cont	+	-	0.0217
12	hi	-	+	0.0217
13	lo	-	+	0.0217
14	tense	-	+	0.0217
15	ant	NA	-	0.0217
16	delrel	NA	-	0.0217
17	cor	NA	+	0.0217
18	dorsal	NA	+	0.0217
19	lab	NA	-	0.0217
20	loreg	-	+	0.0217
21	son	-	+	0.0217
22	laryngeal	+	-	0.0217
23	lab	-	+	0.0217
24	ant	+	-	0.0217
25	distr	-	+	0.0217
