	feature	gold	prediction	proportion
0	lo	+	-	0.0701
1	hitone	+	-	0.0608
2	lo	-	+	0.0582
3	voi	+	-	0.0582
4	cg	+	-	0.0529
5	hi	+	-	0.0503
6	loreg	+	-	0.045
7	loreg	-	+	0.0423
8	hitone	-	+	0.0384
9	sg	-	+	0.0344
10	hi	-	+	0.0317
11	distr	-	+	0.0291
12	cg	-	+	0.0291
13	ant	NA	-	0.0251
14	hireg	+	-	0.0251
15	dorsal	+	-	0.0225
16	front	+	-	0.0212
17	ant	+	-	0.0198
18	back	+	-	0.0146
19	back	-	+	0.0132
20	cons	-	+	0.0132
21	tense	-	+	0.0132
22	lab	-	+	0.0119
23	front	-	+	0.0119
24	cor	+	-	0.0119
25	ant	+	NA	0.0106
26	distr	-	NA	0.0106
27	strid	NA	-	0.0079
28	nas	-	+	0.0079
29	delrel	-	+	0.0079
30	strid	NA	+	0.0079
31	distr	NA	+	0.0066
32	voi	NA	-	0.0066
33	hireg	-	+	0.0053
34	cons	+	-	0.0053
35	round	-	+	0.0053
36	ant	NA	+	0.0053
37	loreg	+	NA	0.0053
38	cor	NA	-	0.0053
39	son	+	-	0.0053
40	opening	-	NA	0.0053
41	centering	-	NA	0.0053
42	lab	+	-	0.004
43	distr	NA	-	0.004
44	delrel	NA	-	0.004
45	closing	NA	+	0.004
46	delrel	+	-	0.004
47	closing	+	NA	0.004
48	longdistance	+	NA	0.004
49	syl	-	+	0.0026
50	tense	NA	+	0.0026
51	cor	-	+	0.0026
52	cg	-	NA	0.0026
53	laryngeal	-	NA	0.0026
54	round	+	-	0.0026
55	backshift	NA	-	0.0026
56	opening	NA	-	0.0026
57	secondrounded	NA	-	0.0026
58	frontshift	NA	-	0.0026
59	dorsal	-	+	0.0013
60	hitone	+	NA	0.0013
61	distr	+	-	0.0013
62	cont	+	-	0.0013
63	centering	NA	-	0.0013
64	cont	-	+	0.0013
65	nas	+	-	0.0013
66	strid	+	NA	0.0013
67	cor	NA	+	0.0013
68	backshift	-	NA	0.0013
69	frontshift	+	NA	0.0013
70	closing	-	NA	0.0013
71	longdistance	-	NA	0.0013
72	secondrounded	-	NA	0.0013
73	ant	-	+	0.0013
74	voi	-	+	0.0013
75	rising	-	+	0.0013
76	frontshift	-	NA	0.0013
77	dorsal	NA	+	0.0013
78	back	NA	+	0.0013
79	long	-	+	0.0013
