	feature	gold	prediction	proportion
0	long	+	-	0.1823
1	tense	+	-	0.1452
2	long	-	+	0.0955
3	hi	+	-	0.0613
4	tense	-	+	0.0559
5	hi	-	+	0.0288
6	back	+	-	0.0271
7	front	-	+	0.0263
8	cont	-	+	0.0247
9	round	+	-	0.0182
10	cor	-	+	0.0168
11	distr	NA	-	0.0168
12	lo	-	+	0.0157
13	ant	NA	+	0.0155
14	front	+	-	0.0139
15	voi	-	+	0.0128
16	back	-	+	0.0114
17	ant	+	NA	0.0102
18	cont	+	-	0.0099
19	distr	-	NA	0.0099
20	lab	+	-	0.0093
21	strid	NA	+	0.0089
22	cons	+	-	0.0089
23	lo	+	-	0.0089
24	son	-	+	0.0085
25	cor	+	-	0.0079
26	voi	+	-	0.0077
27	dorsal	-	+	0.0075
28	sg	+	-	0.0075
29	dorsal	+	-	0.007
30	son	+	-	0.007
31	nas	+	-	0.0066
32	round	-	+	0.0066
33	nas	-	+	0.0064
34	lab	-	+	0.0062
35	cons	-	+	0.0052
36	lat	-	+	0.0052
37	strid	+	NA	0.005
38	tense	-	NA	0.0048
39	delrel	NA	-	0.0037
40	lab	NA	-	0.0035
41	lat	+	-	0.0033
42	syl	-	+	0.0033
43	ant	-	NA	0.0031
44	syl	+	-	0.0031
45	cor	NA	+	0.0031
46	delrel	-	NA	0.0029
47	tense	+	NA	0.0027
48	tense	NA	-	0.0027
49	dorsal	+	NA	0.0025
50	dorsal	NA	+	0.0023
51	dorsal	-	NA	0.0023
52	distr	+	NA	0.0023
53	frontshift	NA	-	0.0021
54	cor	NA	-	0.0019
55	ant	NA	-	0.0015
56	lab	-	NA	0.0015
57	opening	-	NA	0.0012
58	distr	+	-	0.0012
59	cor	-	NA	0.0012
60	secondrounded	-	NA	0.001
61	ant	+	-	0.001
62	distr	-	+	0.001
63	longdistance	+	NA	0.001
64	distr	NA	+	0.001
65	frontshift	-	NA	0.0008
66	centering	+	-	0.0008
67	ant	-	+	0.0008
68	lab	NA	+	0.0008
69	cor	+	NA	0.0008
70	closing	NA	+	0.0008
71	dorsal	NA	-	0.0008
72	centering	+	NA	0.0006
73	backshift	+	NA	0.0006
74	lab	+	NA	0.0006
75	secondrounded	NA	-	0.0004
76	opening	NA	-	0.0004
77	centering	-	NA	0.0004
78	secondrounded	+	NA	0.0004
79	closing	+	NA	0.0004
80	centering	NA	+	0.0002
