	feature	gold	prediction	proportion
0	lo	+	-	0.1
1	hi	+	-	0.08
2	back	+	-	0.06
3	voi	-	+	0.04
4	sg	-	+	0.04
5	cg	+	-	0.04
6	tense	+	-	0.04
7	dorsal	+	-	0.04
8	lo	-	+	0.04
9	hi	-	+	0.04
10	front	-	+	0.04
11	hitone	+	-	0.02
12	hireg	+	-	0.02
13	loreg	-	+	0.02
14	voi	+	-	0.02
15	lat	+	-	0.02
16	cg	-	+	0.02
17	laryngeal	-	+	0.02
18	backshift	NA	-	0.02
19	opening	NA	-	0.02
20	secondrounded	NA	-	0.02
21	hitone	-	+	0.02
22	hireg	-	+	0.02
23	sg	+	-	0.02
24	ant	NA	+	0.02
25	dorsal	+	NA	0.02
26	ant	-	NA	0.02
27	distr	+	NA	0.02
28	tense	-	+	0.02
29	cor	+	-	0.02
30	dorsal	-	+	0.02
31	falling	+	-	0.02
32	lab	-	+	0.02
