	gold	prediction	proportion
0	r	j	0.0563
1	s	sʰ	0.0507
2	ɔ	o	0.0507
3	p	b	0.0423
4	r	-	0.0394
5	-	ŋ	0.031
6	u	o	0.0282
7	ɯ	j	0.0225
8	x	χ	0.0197
9	⁴	¹	0.0197
10	ŋ	n	0.0197
11	ʈ	tʲ	0.0169
12	t	d	0.0169
13	-	j	0.0169
14	i	j	0.0169
15	o	-	0.0141
16	³	⁵	0.0141
17	a	æ	0.0141
18	o	u	0.0141
19	o	ŋ	0.0113
20	-	r	0.0113
21	¹	⁴	0.0113
22	j	n	0.0113
23	ɣ	q	0.0113
24	-	n	0.0113
25	u	ɯ	0.0113
26	e	ɛ	0.0113
27	j	-	0.0113
28	e	-	0.0113
29	⁵	³	0.0113
30	ŋ	-	0.0113
31	dʑ	d	0.0085
32	ɯ̃	ɯ	0.0085
33	i	-	0.0085
34	⁵	⁴	0.0085
35	n	-	0.0085
36	⁴	²	0.0085
37	ø	o	0.0085
38	⁴	⁵	0.0056
39	¹	ŋ	0.0056
40	³	¹	0.0056
41	pʰ	p	0.0056
42	²	¹	0.0056
43	tɕ	ts	0.0056
44	a	ɛ	0.0056
45	⁴	ŋ	0.0056
46	ʁ	ŋ	0.0056
47	sʰ	ʂ	0.0056
48	ɛ	e	0.0056
49	a	ɔ	0.0056
50	i	a	0.0056
51	²	ŋ	0.0056
52	n	ŋ	0.0056
53	j	u	0.0056
54	³	ŋ	0.0056
55	kʰ	-	0.0056
56	r	tsʰ	0.0056
57	ɛ	o	0.0056
58	i	ɛ	0.0056
59	r	o	0.0028
60	ã	o	0.0028
61	²	⁴	0.0028
62	u	j	0.0028
63	¹	-	0.0028
64	-	w	0.0028
65	u	i	0.0028
66	b	-	0.0028
67	o	æ	0.0028
68	i	ɯ	0.0028
69	³³	²	0.0028
70	ɛ	-	0.0028
71	ts	k	0.0028
72	u	æ	0.0028
73	ɯ	-	0.0028
74	dʑ	ts	0.0028
75	ɯ	ɯ̃	0.0028
76	i	e	0.0028
77	r	ɯ	0.0028
78	ʈ	ts	0.0028
79	-	⁴	0.0028
80	t	q	0.0028
81	ɕ	sʰ	0.0028
82	¹	n	0.0028
83	-	tʰ	0.0028
84	tɕ	j	0.0028
85	t	tʲ	0.0028
86	e	n	0.0028
87	kʰ	qʰ	0.0028
88	ɯ̃	ŋ	0.0028
89	r	m	0.0028
90	¹	²	0.0028
91	²¹	¹	0.0028
92	ə	e	0.0028
93	-	o	0.0028
94	e	a	0.0028
95	k	g	0.0028
96	d	tʲ	0.0028
97	ɖʐ	tsʰ	0.0028
98	ʈ	-	0.0028
99	s	ts	0.0028
100	i	o	0.0028
101	tsʲʰ	tɕʰ	0.0028
102	-	e	0.0028
103	h	χ	0.0028
104	²	-	0.0028
105	j	o	0.0028
106	tɕ	k	0.0028
107	b	j	0.0028
108	j	æ	0.0028
109	o	n	0.0028
110	²	³	0.0028
111	ts	tʲ	0.0028
112	ɖʐ	d	0.0028
113	⁴	³	0.0028
114	æ	a	0.0028
115	æ	o	0.0028
116	³	⁴	0.0028
117	p	pʰ	0.0028
118	ɯ̃	i	0.0028
119	ɖʐ	z	0.0028
120	tsʰ	tʰ	0.0028
121	¹	⁵	0.0028
122	tʲ	d	0.0028
123	ɣ	g	0.0028
