	Feature 1	Feature 2	proportion
113	hi	strid	0.0018
114	cons	hitone	0.0018
115	cons	loreg	0.0018
116	cor	hitone	0.0018
117	cor	loreg	0.0018
118	hi	hitone	0.0018
119	hi	loreg	0.0018
120	voi	hi	0.0017
121	nas	loreg	0.0017
122	lab	ant	0.0016
123	lo	long	0.0016
124	lab	distr	0.0014
125	cont	lab	0.0012
126	syl	delrel	0.0012
127	syl	dorsal	0.0012
128	front	tense	0.0012
129	delrel	tense	0.0011
130	dorsal	tense	0.0011
131	cont	distr	0.0009
132	syl	lab	0.0009
133	syl	cor	0.0009
134	cons	lab	0.0009
135	son	dorsal	0.0009
136	cons	distr	0.0009
137	lab	tense	0.0007
138	cons	tense	0.0007
139	cor	tense	0.0007
140	son	ant	0.0007
141	son	distr	0.0007
142	round	long	0.0007
143	cons	son	0.0007
144	cons	voi	0.0007
145	son	long	0.0005
146	cont	cor	0.0005
147	cor	front	0.0005
148	cons	syl	0.0005
149	son	strid	0.0005
150	cont	dorsal	0.0005
151	dorsal	round	0.0005
152	cor	back	0.0005
153	son	hi	0.0005
154	frontshift	closing	0.0005
155	syl	son	0.0005
156	son	tense	0.0005
157	front	long	0.0005
158	nas	tense	0.0004
159	nas	long	0.0004
160	cont	long	0.0004
161	nas	ant	0.0004
162	syl	cont	0.0004
163	cont	tense	0.0004
164	tense	ant	0.0004
165	syl	front	0.0004
166	syl	hi	0.0004
167	syl	round	0.0004
168	cor	round	0.0004
169	back	distr	0.0004
170	lab	round	0.0004
171	son	cor	0.0004
172	son	delrel	0.0004
173	delrel	hi	0.0004
174	delrel	round	0.0004
175	voi	long	0.0004
176	frontshift	longdistance	0.0004
177	closing	longdistance	0.0004
178	frontshift	opening	0.0004
179	opening	closing	0.0004
180	syl	voi	0.0004
181	voi	tense	0.0004
182	cor	strid	0.0004
183	back	long	0.0004
184	lab	long	0.0004
185	nas	cor	0.0002
186	nas	distr	0.0002
187	syl	nas	0.0002
188	syl	ant	0.0002
189	lat	long	0.0002
190	nas	dorsal	0.0002
191	nas	hi	0.0002
192	cons	back	0.0002
193	syl	distr	0.0002
194	long	strid	0.0002
195	cons	delrel	0.0002
196	back	backshift	0.0002
197	back	frontshift	0.0002
198	back	closing	0.0002
199	back	longdistance	0.0002
200	tense	backshift	0.0002
201	tense	frontshift	0.0002
202	tense	closing	0.0002
203	tense	longdistance	0.0002
204	backshift	frontshift	0.0002
205	backshift	closing	0.0002
206	backshift	longdistance	0.0002
207	syl	long	0.0002
208	delrel	long	0.0002
209	frontshift	centering	0.0002
210	opening	centering	0.0002
211	opening	longdistance	0.0002
212	closing	centering	0.0002
213	centering	longdistance	0.0002
214	dorsal	strid	0.0002
215	delrel	back	0.0002
216	voi	back	0.0002
217	voi	round	0.0002
218	voi	cor	0.0002
219	cont	laryngeal	0.0002
220	laryngeal	strid	0.0002
221	lab	strid	0.0002
222	cons	long	0.0002
223	round	distr	0.0002
224	son	round	0.0002
225	tense	distr	0.0002
