	Feature 1	Feature 2	proportion
0	hi	front	0.0681
1	hi	lo	0.0551
2	lo	front	0.0509
3	cont	back	0.042
4	cg	lo	0.027
5	dorsal	hi	0.0252
6	tense	long	0.0221
7	ant	distr	0.0215
8	back	front	0.0213
9	dorsal	front	0.0212
10	dorsal	ant	0.0192
11	front	ant	0.0186
12	hi	back	0.017
13	back	round	0.0165
14	lo	back	0.0158
15	hi	ant	0.0135
16	front	round	0.0131
17	lo	tense	0.0123
18	dorsal	lab	0.012
19	hitone	loreg	0.012
20	front	distr	0.0116
21	dorsal	back	0.0116
22	hi	distr	0.0113
23	voi	lo	0.0103
24	dorsal	distr	0.0103
25	lab	front	0.0093
26	dorsal	lo	0.0091
27	hi	tense	0.0089
28	cont	strid	0.008
29	hi	round	0.008
30	sg	strid	0.0077
31	cons	hi	0.0076
32	lo	ant	0.0073
33	delrel	strid	0.0071
34	hitone	hireg	0.0071
35	cor	lab	0.0068
36	son	voi	0.0068
37	voi	ant	0.0067
38	cont	nas	0.0063
39	cor	dorsal	0.0063
40	cons	cont	0.0061
41	delrel	cor	0.006
42	delrel	dorsal	0.006
43	back	ant	0.0059
44	son	nas	0.0058
45	nas	lab	0.0058
46	son	front	0.0056
47	voi	lab	0.0056
48	delrel	lab	0.0054
49	son	lab	0.0054
50	hireg	loreg	0.0054
51	nas	voi	0.0053
52	voi	front	0.0053
53	cons	nas	0.0051
54	voi	laryngeal	0.0051
55	laryngeal	lab	0.0051
56	voi	distr	0.0051
57	son	laryngeal	0.0049
58	nas	laryngeal	0.0049
59	nas	front	0.0049
60	laryngeal	front	0.0049
61	sg	ant	0.0049
62	cons	ant	0.0047
63	lab	back	0.0043
64	cont	sg	0.004
65	hi	long	0.004
66	ant	strid	0.0038
67	cont	lo	0.0037
68	lo	round	0.0037
69	delrel	ant	0.0037
70	laryngeal	lo	0.0037
71	lab	lo	0.0037
72	voi	cg	0.0036
73	cg	laryngeal	0.0036
74	cg	dorsal	0.0036
75	cg	hi	0.0036
76	cg	back	0.0036
77	laryngeal	dorsal	0.0036
78	laryngeal	hi	0.0036
79	laryngeal	back	0.0036
80	backshift	opening	0.0036
81	backshift	secondrounded	0.0036
82	opening	secondrounded	0.0036
83	voi	sg	0.0033
84	tense	round	0.0032
85	cont	ant	0.0032
86	cons	dorsal	0.0032
87	cor	ant	0.0028
88	cor	distr	0.0028
89	cont	voi	0.0027
90	back	tense	0.0027
91	lab	hi	0.0027
92	cor	hi	0.0025
93	cont	front	0.0023
94	cons	front	0.0023
95	voi	strid	0.0022
96	delrel	front	0.0022
97	cons	round	0.0022
98	cons	cor	0.0022
99	syl	tense	0.0021
100	voi	dorsal	0.002
101	distr	strid	0.002
102	son	back	0.002
103	cons	lo	0.002
104	cont	hi	0.002
105	lo	strid	0.002
106	lo	distr	0.002
107	son	cont	0.0019
108	delrel	distr	0.0018
109	cont	delrel	0.0018
110	front	strid	0.0018
111	sg	hi	0.0018
112	sg	lo	0.0018
