	Feature 1	Feature 2	proportion
240	hi	hitone	0.0004
241	velaric	hitone	0.0004
242	long	hitone	0.0004
243	hi	backshift	0.0004
244	hi	closing	0.0004
245	hi	centering	0.0004
246	hi	secondrounded	0.0004
247	tense	frontshift	0.0004
248	tense	opening	0.0004
249	tense	longdistance	0.0004
250	voi	tense	0.0004
251	voi	lab	0.0004
252	cons	strid	0.0003
253	backshift	longdistance	0.0003
254	longdistance	secondrounded	0.0003
255	lo	closing	0.0003
256	cons	lo	0.0003
257	tense	backshift	0.0003
258	tense	secondrounded	0.0003
259	lab	strid	0.0003
260	syl	son	0.0003
261	syl	voi	0.0003
262	syl	distr	0.0003
263	lab	long	0.0003
264	long	strid	0.0003
265	son	tense	0.0003
266	cont	tense	0.0003
267	son	long	0.0003
268	long	distr	0.0003
269	cons	back	0.0003
270	cor	long	0.0003
271	lat	ant	0.0003
272	lat	distr	0.0003
273	cor	hitone	0.0002
274	lo	frontshift	0.0002
275	front	frontshift	0.0002
276	round	frontshift	0.0002
277	voi	rising	0.0002
278	cor	rising	0.0002
279	loreg	rising	0.0002
280	delrel	closing	0.0002
281	sg	closing	0.0002
282	cg	closing	0.0002
283	distr	closing	0.0002
284	delrel	round	0.0002
285	syl	nas	0.0002
286	nas	round	0.0002
287	cor	round	0.0002
288	son	hitone	0.0002
289	lo	hitone	0.0002
290	sg	hi	0.0002
291	delrel	hitone	0.0002
292	sg	front	0.0002
293	syl	cont	0.0002
294	nas	long	0.0002
295	dorsal	long	0.0002
296	lat	hi	0.0002
297	son	lat	0.0002
298	cont	lat	0.0002
299	cont	rising	0.0001
300	nas	hitone	0.0001
301	nas	loreg	0.0001
302	nas	falling	0.0001
303	voi	falling	0.0001
304	back	hitone	0.0001
305	back	falling	0.0001
306	lab	loreg	0.0001
307	sg	hitone	0.0001
308	sg	rising	0.0001
309	sg	contour	0.0001
310	hitone	rising	0.0001
311	hitone	contour	0.0001
312	rising	contour	0.0001
313	lat	hitone	0.0001
314	son	delrel	0.0001
315	lat	lab	0.0001
316	lat	long	0.0001
317	lat	strid	0.0001
318	son	sg	0.0001
319	delrel	long	0.0001
320	lo	longdistance	0.0001
321	cons	lat	0.0001
322	lat	cor	0.0001
323	syl	back	0.0001
324	syl	round	0.0001
325	lat	voi	0.0001
326	lat	dorsal	0.0001
327	lat	nas	0.0001
328	lat	tense	0.0001
329	lat	front	0.0001
330	sg	cor	0.0001
331	nas	sg	0.0
332	lo	opening	0.0
333	tense	strid	0.0
334	lat	back	0.0
335	son	laryngeal	0.0
336	front	centering	0.0
337	round	centering	0.0
338	lat	lo	0.0
339	lat	round	0.0
340	sg	lab	0.0
341	sg	back	0.0
342	front	opening	0.0
343	round	opening	0.0
344	lo	secondrounded	0.0
345	lo	backshift	0.0
346	lo	centering	0.0
347	long	backshift	0.0
348	long	centering	0.0
349	long	longdistance	0.0
