	feature	gold	prediction	proportion
0	front	-	+	0.1346
1	strid	+	NA	0.0962
2	back	+	-	0.0769
3	hi	-	+	0.0769
4	dorsal	+	-	0.0577
5	cor	-	+	0.0577
6	distr	NA	-	0.0577
7	front	+	-	0.0577
8	delrel	+	-	0.0577
9	lo	+	-	0.0577
10	lo	-	+	0.0385
11	ant	NA	+	0.0385
12	round	+	-	0.0192
13	hi	+	-	0.0192
14	cont	+	-	0.0192
15	cor	+	-	0.0192
16	lab	-	+	0.0192
17	ant	+	NA	0.0192
18	distr	-	NA	0.0192
19	ant	-	+	0.0192
20	distr	+	-	0.0192
21	voi	-	+	0.0192
