	feature	gold	prediction	proportion
0	hitone	+	-	0.0994
1	hi	+	-	0.0577
2	tense	-	+	0.0517
3	hi	-	+	0.0517
4	front	-	+	0.0437
5	dorsal	+	-	0.0338
6	back	+	-	0.0338
7	ant	-	+	0.0298
8	front	+	-	0.0298
9	ant	+	-	0.0278
10	hireg	+	-	0.0239
11	loreg	+	-	0.0239
12	dorsal	-	+	0.0219
13	sg	+	-	0.0199
14	cont	+	-	0.0199
15	ant	+	NA	0.0179
16	lo	+	-	0.0179
17	round	+	-	0.0159
18	cons	+	-	0.0159
19	round	-	+	0.0139
20	delrel	+	-	0.0139
21	hireg	-	+	0.0139
22	distr	+	-	0.0139
23	ant	-	NA	0.0139
24	loreg	-	+	0.0139
25	strid	-	NA	0.0139
26	distr	-	+	0.0139
27	falling	-	+	0.0139
28	voi	+	-	0.0119
29	distr	+	NA	0.0119
30	back	-	+	0.0119
31	distr	NA	-	0.0119
32	distr	-	NA	0.0119
33	cor	NA	+	0.0099
34	cont	-	+	0.0099
35	cor	-	+	0.0099
36	tense	+	-	0.0099
37	delrel	NA	-	0.008
38	strid	NA	+	0.008
39	nas	-	+	0.008
40	strid	-	+	0.008
41	tense	NA	+	0.008
42	lo	-	+	0.006
43	lab	NA	-	0.006
44	ant	NA	+	0.006
45	strid	+	-	0.006
46	nas	+	-	0.004
47	hitone	-	+	0.004
48	cons	-	+	0.004
49	tense	+	NA	0.004
50	voi	NA	+	0.004
51	back	NA	+	0.004
52	strid	+	NA	0.004
53	syl	-	+	0.004
54	cont	-	NA	0.004
55	cor	+	NA	0.004
56	laryngeal	+	-	0.002
57	ant	NA	-	0.002
58	distr	NA	+	0.002
59	dorsal	NA	+	0.002
60	front	NA	-	0.002
61	voi	-	+	0.002
62	son	-	+	0.002
63	dorsal	-	NA	0.002
64	sg	-	+	0.002
65	falling	+	-	0.002
66	dorsal	+	NA	0.002
67	son	+	-	0.002
68	syl	+	-	0.002
69	lat	-	NA	0.002
70	cg	-	NA	0.002
71	front	-	NA	0.002
72	round	-	NA	0.002
73	falling	NA	-	0.002
