	feature	gold	prediction	proportion
0	hi	-	+	0.1028
1	front	+	-	0.0883
2	loreg	+	-	0.0731
3	loreg	-	+	0.0428
4	back	+	-	0.0421
5	round	-	+	0.0407
6	back	-	+	0.0393
7	lo	+	-	0.0386
8	hi	+	-	0.0366
9	round	+	-	0.0331
10	lo	-	+	0.0324
11	front	-	+	0.0317
12	tense	-	+	0.0269
13	hitone	-	+	0.0241
14	hitone	+	-	0.0234
15	cg	+	-	0.0234
16	ant	-	+	0.0186
17	falling	-	+	0.0172
18	sg	+	-	0.0152
19	voi	+	-	0.0152
20	distr	+	-	0.0131
21	cont	+	-	0.0117
22	tense	+	-	0.011
23	cont	-	+	0.011
24	voi	-	+	0.0097
25	strid	+	-	0.0097
26	dorsal	+	-	0.009
27	dorsal	-	+	0.009
28	distr	NA	+	0.0083
29	strid	NA	+	0.0076
30	strid	+	NA	0.0069
31	delrel	-	+	0.0069
32	delrel	+	-	0.0062
33	sg	-	+	0.0062
34	nas	-	+	0.0055
35	ant	NA	-	0.0055
36	distr	-	+	0.0048
37	falling	-	NA	0.0048
38	ant	+	-	0.0041
39	cor	-	+	0.0041
40	lab	NA	-	0.0041
41	tense	NA	+	0.0034
42	secondrounded	NA	-	0.0034
43	strid	-	NA	0.0034
44	son	-	+	0.0034
45	ant	+	NA	0.0028
46	distr	-	NA	0.0028
47	laryngeal	+	-	0.0028
48	backshift	NA	-	0.0028
49	closing	NA	+	0.0028
50	syl	-	+	0.0021
51	centering	NA	-	0.0021
52	syl	+	-	0.0021
53	dorsal	NA	+	0.0021
54	ant	-	NA	0.0021
55	strid	NA	-	0.0021
56	strid	-	+	0.0021
57	long	-	+	0.0014
58	rising	-	NA	0.0014
59	delrel	NA	-	0.0014
60	distr	NA	-	0.0014
61	son	+	-	0.0014
62	laryngeal	-	+	0.0014
63	dorsal	+	NA	0.0014
64	lab	-	NA	0.0014
65	cor	NA	+	0.0014
66	distr	+	NA	0.0014
67	hi	-	NA	0.0014
68	velaric	-	NA	0.0014
69	hitone	+	NA	0.0014
70	cont	NA	-	0.0007
71	round	-	NA	0.0007
72	nas	NA	+	0.0007
73	voi	NA	+	0.0007
74	back	NA	+	0.0007
75	hitone	-	NA	0.0007
76	cor	+	-	0.0007
77	lab	-	+	0.0007
78	falling	NA	-	0.0007
79	laryngeal	-	NA	0.0007
80	hi	+	NA	0.0007
81	long	-	NA	0.0007
82	opening	NA	-	0.0007
83	cg	-	+	0.0007
84	sg	NA	-	0.0007
85	contour	-	NA	0.0007
86	delrel	NA	+	0.0007
87	ant	NA	+	0.0007
88	lat	NA	-	0.0007
89	lab	+	-	0.0007
90	delrel	-	NA	0.0007
91	cor	+	NA	0.0007
