Proportion	Fold	Family	ED	NED	B3_F1
0.5	1	Romance	1.2311	0.1517	0.7744
0.5	2	Romance	1.3034	0.1594	0.762
0.5	3	Romance	1.2957	0.158	0.7643
0.5	4	Romance	1.3044	0.1582	0.7608
0.5	5	Romance	1.2774	0.1577	0.7636
0.5	6	Romance	1.261	0.1548	0.7689
0.5	7	Romance	1.3314	0.1626	0.7584
0.5	8	Romance	1.2726	0.1564	0.7659
0.5	9	Romance	1.2644	0.1575	0.7677
0.5	10	Romance	1.2832	0.1582	0.7651
0.1	1	Burmish	0.5556	0.1512	0.9035
0.1	2	Burmish	0.5185	0.134	0.8726
0.1	3	Burmish	0.5926	0.1469	0.8322
0.1	4	Burmish	0.5185	0.1327	0.8944
0.1	5	Burmish	0.2222	0.0611	0.9394
0.1	6	Burmish	0.2593	0.0741	0.9311
0.1	7	Burmish	0.4074	0.1142	0.9077
0.1	8	Burmish	0.4444	0.1074	0.9018
0.1	9	Burmish	0.3704	0.092	0.9204
0.1	10	Burmish	0.1852	0.0438	0.9506
0.1	1	Purus	0.25	0.0381	0.9384
0.1	2	Purus	0.65	0.12	0.8435
0.1	3	Purus	0.45	0.0975	0.8738
0.1	4	Purus	0.4	0.0917	0.8935
0.1	5	Purus	0.55	0.1058	0.8661
0.1	6	Purus	0.2	0.0392	0.9396
0.1	7	Purus	0.4	0.0625	0.9145
0.1	8	Purus	0.7	0.1292	0.8197
0.1	9	Purus	0.5	0.1017	0.8803
0.1	10	Purus	0.1	0.025	0.9665
0.1	1	Lalo	0.648	0.2043	0.7142
0.1	2	Lalo	0.632	0.2053	0.6982
0.1	3	Lalo	0.648	0.2107	0.6997
0.1	4	Lalo	0.528	0.1693	0.7489
0.1	5	Lalo	0.696	0.2207	0.6996
0.1	6	Lalo	0.696	0.218	0.6944
0.1	7	Lalo	0.528	0.166	0.7579
0.1	8	Lalo	0.64	0.2003	0.7096
0.1	9	Lalo	0.536	0.1653	0.7608
0.1	10	Lalo	0.488	0.1593	0.7824
0.1	1	Bai	0.4565	0.117	0.8343
0.1	2	Bai	0.6957	0.1634	0.7718
0.1	3	Bai	0.7174	0.1862	0.7701
0.1	4	Bai	0.6522	0.1699	0.7811
0.1	5	Bai	0.8261	0.2025	0.7427
0.1	6	Bai	0.6739	0.1837	0.7821
0.1	7	Bai	0.5435	0.1478	0.8227
0.1	8	Bai	0.7391	0.2018	0.7655
0.1	9	Bai	0.6739	0.1764	0.7646
0.1	10	Bai	0.7391	0.1942	0.7643
0.1	1	Karen	0.5833	0.1375	0.8749
0.1	2	Karen	0.3889	0.112	0.8826
0.1	3	Karen	0.5	0.1278	0.8931
0.1	4	Karen	0.5278	0.138	0.8678
0.1	5	Karen	0.4167	0.1079	0.8876
0.1	6	Karen	0.4722	0.1194	0.8575
0.1	7	Karen	0.6389	0.1593	0.8343
0.1	8	Karen	0.6389	0.1625	0.8242
0.1	9	Karen	0.4722	0.1329	0.8606
0.1	10	Karen	0.2778	0.0722	0.9471
0.1	1	Romance	1.147	0.1445	0.79
0.1	2	Romance	1.0361	0.1293	0.8062
0.1	3	Romance	1.1205	0.1367	0.7948
0.1	4	Romance	1.1542	0.1432	0.7855
0.1	5	Romance	1.2771	0.1577	0.7674
0.1	6	Romance	1.2241	0.1524	0.7734
0.1	7	Romance	1.147	0.1397	0.7941
0.1	8	Romance	1.1687	0.1428	0.7844
0.1	9	Romance	1.0699	0.1353	0.8055
0.1	10	Romance	1.1952	0.1447	0.7824
