Language	ED	NED	B3_F1
[1]	1.1485	0.2436	0.6657
[10]	1.0286	0.2042	0.7138
[2]	1.0	0.2168	0.7077
[3]	1.3	0.3075	0.6996
[4]	0.9189	0.2401	0.7447
[5]	1.5455	0.4515	0.7976
[6]	0.8406	0.1972	0.7555
[7]	1.0612	0.2555	0.7358
[8]	0.8219	0.1926	0.7393
[9]	1.475	0.3279	0.705
[Beijing]	0.3161	0.0932	0.8627
[Changsha]	0.8065	0.2183	0.7226
[Chaozhou]	1.3613	0.3699	0.5596
[Chengdu]	0.3226	0.0853	0.8744
[Fuzhou]	1.3226	0.3515	0.5917
[Guangzhou]	1.1677	0.3242	0.5958
[Hankou]	0.3419	0.0988	0.8677
[Jinan]	0.2323	0.0699	0.8997
[Meixian]	0.8129	0.2213	0.6916
[Nanchang]	0.8258	0.2261	0.7021
[Shanghai]	0.871	0.2422	0.6815
[Shuangfeng]	1.2452	0.3409	0.5832
[Suzhou]	0.8129	0.226	0.6963
[Taiyuan]	0.6839	0.1644	0.7725
[Wenzhou]	1.3226	0.3968	0.5629
[Xiamen]	1.1226	0.2944	0.643
[XiAn]	0.4452	0.1322	0.8317
[Yangzhou]	0.7161	0.1948	0.7601
[ZhongyuanYinyun]	0.7935	0.2038	0.7224
[cojubim]	1.2826	0.2263	0.6869
[jaru]	2.3571	0.3689	0.5127
[kitemoka]	3.4615	0.5636	0.3897
[more]	1.3774	0.2816	0.6597
[orowin]	1.6667	0.2636	0.6046
[tapakura]	3.1628	0.4992	0.428
[tora]	2.7451	0.4658	0.4568
[urupa]	2.1053	0.3715	0.555
[wanyam]	2.3091	0.3512	0.5877
[wari]	2.5769	0.4174	0.4842
[Duhumbi]	0.3345	0.1312	0.8303
[Jerigaon]	0.3818	0.1679	0.7909
[Khispi]	0.28	0.1124	0.8395
[Khoina]	0.6073	0.2721	0.7246
[Khoitam]	0.28	0.1127	0.8196
[Rahung]	0.32	0.1297	0.8038
[Rupa]	0.3527	0.1576	0.8116
[Shergaon]	0.4109	0.1812	0.7891
[BelejeGonfoye]	1.7377	0.323	0.6172
[Fadashi]	1.0	0.21	0.7366
[Maiyu]	1.55	0.3035	0.6267
[Undulu]	1.4262	0.2917	0.6396
[BanPaw]	0.5254	0.1729	0.8442
[ChaYeQing]	1.3393	0.4851	0.5978
[ChuDongGua]	1.0508	0.3853	0.6794
[GuangKa]	0.6441	0.2274	0.7782
[HtanHsan]	0.9831	0.3458	0.6555
[KhunHawt]	0.8305	0.291	0.7147
[MangBang]	0.5763	0.2006	0.7809
[ManLoi]	0.8644	0.2977	0.7093
[MengDan]	1.0339	0.3706	0.7286
[NamHsan]	0.8475	0.2929	0.7009
[NanSang]	0.6441	0.2316	0.7819
[NoeLae]	0.4915	0.1664	0.8731
[NyaungGone]	0.5254	0.1799	0.8533
[PangKham]	0.9153	0.3198	0.7326
[PongNuea]	0.678	0.252	0.824
[XiangZhaiTang]	0.9831	0.3486	0.7232
[AchangLongchuan]	1.313	0.3217	0.5917
[Atsi]	1.2847	0.3339	0.5775
[Bola]	0.8099	0.2237	0.7327
[Lashi]	1.6788	0.4519	0.5323
[Maru]	1.168	0.3096	0.6399
[OldBurmese]	0.8767	0.2589	0.7286
[ProtoBurmish]	0.7971	0.2117	0.7244
[Rangoon]	2.3889	0.6373	0.3787
[Xiandao]	1.5474	0.4155	0.5026
[Albanian]	2.5	0.6942	0.4175
[English]	2.1071	0.6336	0.457
[French]	2.4386	0.7105	0.3829
[German]	2.6	0.6827	0.4009
[Latin]	2.8667	0.6685	0.3384
[Kayah]	0.4825	0.152	0.8173
[Kayan]	0.7544	0.1895	0.7685
[Kayaw]	0.3421	0.1023	0.8623
[NorthernPao]	0.3246	0.073	0.8871
[NorthernPwo]	1.4211	0.3702	0.7061
[ProtoKaren]	0.6228	0.1621	0.814
[SouthernPao]	0.3158	0.0665	0.8885
[WesternBwe]	0.9474	0.2968	0.7215
[Dashi]	0.8895	0.2549	0.6833
[Ega]	0.8639	0.2642	0.6706
[Enqi]	0.802	0.2348	0.7028
[Gongxing]	1.1289	0.3308	0.6154
[Jinman]	0.8073	0.2496	0.6896
[Jinxing]	0.7107	0.2058	0.7357
[Mazhelong]	0.8895	0.2609	0.6882
[ProtoBai]	1.0051	0.2625	0.6879
[Tuoluo]	0.8438	0.2343	0.682
[Zhoucheng]	0.5104	0.1602	0.7659
