Family	ED	NED	B3_F1
bantubvd	1.1225	0.276	0.7809
beidazihui	0.8006	0.2164	0.774
birchallchapacuran	1.6687	0.3096	0.6429
bodtkhobwa	0.3071	0.1332	0.8497
bremerberta	1.2375	0.2298	0.7693
deepadungpalaung	0.6156	0.2414	0.878
hillburmish	1.2143	0.3266	0.6546
kesslersignificance	2.4191	0.6763	0.5363
luangthongkumkaren	0.454	0.1244	0.8713
wangbai	0.653	0.1868	0.7862
