Family	ED	NED	B3_F1
bantubvd	1.114	0.2637	0.7265
beidazihui	0.817	0.2239	0.7169
birchallchapacuran	2.3044	0.3809	0.5365
bodtkhobwa	0.3709	0.1581	0.8012
bremerberta	1.4285	0.2821	0.655
deepadungpalaung	0.8083	0.2855	0.7486
hillburmish	1.3183	0.3516	0.6009
kesslersignificance	2.5025	0.6779	0.3993
luangthongkumkaren	0.6513	0.1765	0.8082
wangbai	0.8451	0.2458	0.6921
