Language	ED	NED	B3_F1
[1]	1.3595	0.2928	0.6259
[10]	1.0778	0.2299	0.688
[2]	0.9615	0.2258	0.7347
[3]	1.4074	0.3427	0.6527
[4]	1.0526	0.2627	0.6871
[5]	1.2727	0.3333	0.6994
[6]	1.0273	0.2486	0.691
[7]	1.3594	0.3248	0.7045
[8]	0.8021	0.1925	0.7515
[9]	1.5532	0.3399	0.7079
[Beijing]	0.3938	0.1109	0.8392
[Changsha]	0.8108	0.233	0.7234
[Chaozhou]	1.4363	0.3801	0.5181
[Chengdu]	0.2896	0.0819	0.8854
[Fuzhou]	1.0579	0.2684	0.6413
[Guangzhou]	1.166	0.3313	0.6151
[Hankou]	0.3282	0.0925	0.8587
[Jinan]	0.4324	0.1334	0.8281
[Meixian]	0.7297	0.1926	0.7279
[Nanchang]	0.8649	0.2341	0.6804
[Shanghai]	0.7066	0.2095	0.7249
[Shuangfeng]	1.139	0.3261	0.6086
[Suzhou]	1.0116	0.29	0.6748
[Taiyuan]	0.6023	0.148	0.7802
[Wenzhou]	1.4324	0.4263	0.5223
[Xiamen]	1.0695	0.2799	0.6325
[XiAn]	0.5753	0.1672	0.8044
[Yangzhou]	0.7876	0.2084	0.7199
[ZhongyuanYinyun]	0.9266	0.2313	0.7009
[cojubim]	1.2609	0.2619	0.6669
[jaru]	2.8167	0.4303	0.4672
[kitemoka]	3.4783	0.5424	0.3967
[more]	1.7907	0.3365	0.5493
[orowin]	1.8795	0.3098	0.5913
[tapakura]	3.0204	0.5	0.4413
[tora]	2.8611	0.5099	0.395
[urupa]	2.2917	0.3895	0.5385
[wanyam]	2.2209	0.3504	0.547
[wari]	2.4405	0.4083	0.4924
[Duhumbi]	0.6318	0.26	0.6638
[Jerigaon]	0.5613	0.2333	0.6801
[Khispi]	0.3524	0.1367	0.7896
[Khoina]	0.7074	0.3149	0.6614
[Khoitam]	0.3803	0.1628	0.7613
[Rahung]	0.4515	0.1891	0.7335
[Rupa]	0.4133	0.1776	0.7649
[Shergaon]	0.3712	0.1592	0.7767
[BelejeGonfoye]	1.8434	0.3442	0.5819
[Fadashi]	1.4848	0.2885	0.6218
[Maiyu]	1.8817	0.3534	0.5811
[Undulu]	1.6593	0.3074	0.5975
[BanPaw]	0.7957	0.2778	0.7482
[ChaYeQing]	1.1111	0.4167	0.6288
[ChuDongGua]	1.0323	0.3658	0.643
[GuangKa]	1.0667	0.3913	0.6462
[HtanHsan]	0.9639	0.3442	0.6712
[KhunHawt]	1.0769	0.3765	0.6387
[MangBang]	1.2088	0.4414	0.618
[ManLoi]	0.9263	0.3375	0.7048
[MengDan]	1.2333	0.4352	0.6174
[NamHsan]	1.119	0.3921	0.6432
[NanSang]	0.9355	0.3387	0.6671
[NoeLae]	0.5521	0.1962	0.8207
[NyaungGone]	0.8191	0.2801	0.7397
[PangKham]	1.0215	0.3685	0.6824
[PongNuea]	0.9681	0.364	0.7411
[XiangZhaiTang]	0.8817	0.3197	0.7215
[AchangLongchuan]	1.6087	0.4041	0.5191
[Atsi]	1.8056	0.4758	0.4862
[Bola]	1.0326	0.2733	0.6645
[Lashi]	1.9569	0.5191	0.4747
[Maru]	1.0789	0.2896	0.6427
[OldBurmese]	1.1919	0.3512	0.601
[ProtoBurmish]	1.1907	0.3178	0.6371
[Rangoon]	2.8059	0.7725	0.339
[Xiandao]	2.1134	0.5636	0.3998
[Albanian]	2.9189	0.7347	0.351
[English]	2.027	0.6061	0.4394
[French]	2.5301	0.692	0.3522
[German]	2.4583	0.653	0.3986
[Latin]	3.1494	0.6859	0.2967
[Kayah]	0.6776	0.2054	0.7462
[Kayan]	0.9451	0.2484	0.7157
[Kayaw]	0.4402	0.1368	0.8232
[NorthernPao]	0.5053	0.119	0.8313
[NorthernPwo]	1.3512	0.3649	0.6648
[ProtoKaren]	0.7947	0.2003	0.7609
[SouthernPao]	0.3913	0.0899	0.8565
[WesternBwe]	1.1288	0.3522	0.6594
[Dashi]	1.0304	0.2981	0.6313
[Ega]	0.8571	0.2605	0.6747
[Enqi]	1.0603	0.3209	0.6094
[Gongxing]	1.3967	0.411	0.5411
[Jinman]	1.1643	0.3689	0.6026
[Jinxing]	0.8479	0.2408	0.7012
[Mazhelong]	1.0208	0.2995	0.6487
[ProtoBai]	1.5127	0.4071	0.5409
[Tuoluo]	1.0836	0.2984	0.6097
[Zhoucheng]	0.5925	0.188	0.7413
