Family	Language	ED	NED	B3_F1
bantubvd	[1]	1.2876	0.2741	0.6359
bantubvd	[10]	1.0889	0.2277	0.6755
bantubvd	[2]	0.9423	0.2086	0.727
bantubvd	[3]	1.4074	0.3519	0.6595
bantubvd	[4]	1.0263	0.2589	0.684
bantubvd	[5]	1.4545	0.4485	0.7637
bantubvd	[6]	1.0182	0.2367	0.6872
bantubvd	[7]	1.3906	0.3308	0.6789
bantubvd	[8]	0.8229	0.1926	0.7502
bantubvd	[9]	1.7021	0.3702	0.6767
beidazihui	[Beijing]	0.1699	0.0515	0.9187
beidazihui	[Changsha]	0.4633	0.1343	0.83
beidazihui	[Chaozhou]	1.1931	0.3129	0.5773
beidazihui	[Chengdu]	0.1158	0.0337	0.9476
beidazihui	[Fuzhou]	0.8726	0.2318	0.6926
beidazihui	[Guangzhou]	0.7645	0.218	0.7039
beidazihui	[Hankou]	0.1853	0.0552	0.9178
beidazihui	[Jinan]	0.1853	0.0579	0.9148
beidazihui	[Meixian]	0.5521	0.1479	0.769
beidazihui	[Nanchang]	0.5212	0.1459	0.7904
beidazihui	[Shanghai]	0.5869	0.1663	0.7603
beidazihui	[Shuangfeng]	0.7375	0.2092	0.707
beidazihui	[Suzhou]	0.3938	0.1122	0.8316
beidazihui	[Taiyuan]	0.305	0.0729	0.8783
beidazihui	[Wenzhou]	0.9807	0.2832	0.6278
beidazihui	[Xiamen]	0.6486	0.1705	0.7547
beidazihui	[XiAn]	0.3089	0.0975	0.8797
beidazihui	[Yangzhou]	0.3784	0.1078	0.8503
beidazihui	[ZhongyuanYinyun]	0.4749	0.1189	0.8273
birchallchapacuran	[cojubim]	1.1014	0.2146	0.7199
birchallchapacuran	[jaru]	2.3667	0.3634	0.5071
birchallchapacuran	[kitemoka]	3.5652	0.5628	0.3595
birchallchapacuran	[more]	1.7093	0.3187	0.5849
birchallchapacuran	[orowin]	1.8795	0.3122	0.5742
birchallchapacuran	[tapakura]	3.102	0.5052	0.406
birchallchapacuran	[tora]	2.8472	0.4887	0.409
birchallchapacuran	[urupa]	2.2917	0.39	0.5151
birchallchapacuran	[wanyam]	2.593	0.4117	0.4683
birchallchapacuran	[wari]	2.5	0.4111	0.486
bodtkhobwa	[Duhumbi]	0.393	0.1673	0.771
bodtkhobwa	[Jerigaon]	0.4434	0.1836	0.7493
bodtkhobwa	[Khispi]	0.3201	0.1286	0.801
bodtkhobwa	[Khoina]	0.6313	0.2727	0.6796
bodtkhobwa	[Khoitam]	0.3199	0.1324	0.7963
bodtkhobwa	[Rahung]	0.3363	0.1401	0.789
