Family	ED	NED	B3_F1
bantubvd	0.8797	0.216	0.8152
beidazihui	0.5283	0.1461	0.8385
birchallchapacuran	1.6293	0.3013	0.6472
bodtkhobwa	0.2473	0.1055	0.8725
bremerberta	1.125	0.1994	0.7624
deepadungpalaung	0.4719	0.1844	0.9096
hillburmish	1.0291	0.2736	0.7026
kesslersignificance	2.352	0.6328	0.5364
luangthongkumkaren	0.3125	0.0867	0.9011
wangbai	0.4894	0.1434	0.8258
