Family	ED	NED	B3_F1
bantubvd	1.1873	0.2793	0.6943
beidazihui	0.8295	0.2287	0.7098
birchallchapacuran	2.4061	0.4039	0.5086
bodtkhobwa	0.4836	0.2042	0.7289
bremerberta	1.7173	0.3234	0.5956
deepadungpalaung	0.982	0.3529	0.6832
hillburmish	1.6427	0.4408	0.5293
kesslersignificance	2.6167	0.6743	0.3676
luangthongkumkaren	0.7793	0.2146	0.7572
wangbai	1.0566	0.3093	0.6301
