Family	ED	NED	B3_F1
bantubvd	1.0651	0.2495	0.7213
beidazihui	0.5141	0.1433	0.8033
birchallchapacuran	2.2764	0.3773	0.534
bodtkhobwa	0.2814	0.1221	0.8374
bremerberta	1.539	0.2944	0.6249
deepadungpalaung	0.6535	0.2315	0.7846
hillburmish	1.0756	0.2847	0.6503
kesslersignificance	2.6409	0.6965	0.3955
luangthongkumkaren	0.4112	0.1111	0.8492
wangbai	0.6708	0.1945	0.7403
