Proportion	Fold	Family	ED	NED	B3_F1
0.5	1	Romance	1.2431	0.1541	0.7774
0.5	2	Romance	1.2754	0.1565	0.7684
0.5	3	Romance	1.3131	0.1602	0.7629
0.5	4	Romance	1.233	0.152	0.7735
0.5	5	Romance	1.2475	0.1544	0.7714
0.5	6	Romance	1.2504	0.1537	0.7717
0.5	7	Romance	1.2899	0.1581	0.7674
0.5	8	Romance	1.2759	0.1569	0.7724
0.5	9	Romance	1.2021	0.1485	0.7799
0.5	10	Romance	1.2402	0.1541	0.7754
0.1	1	Burmish	0.5556	0.1556	0.8932
0.1	2	Burmish	0.6296	0.1636	0.8613
0.1	3	Burmish	0.6296	0.1562	0.8446
0.1	4	Burmish	0.6667	0.1759	0.8689
0.1	5	Burmish	0.2593	0.0642	0.9371
0.1	6	Burmish	0.5926	0.166	0.8502
0.1	7	Burmish	0.4074	0.1111	0.9278
0.1	8	Burmish	0.4444	0.1117	0.8938
0.1	9	Burmish	0.2963	0.0722	0.9218
0.1	10	Burmish	0.4815	0.1241	0.8917
0.1	1	Purus	0.3	0.0481	0.9388
0.1	2	Purus	0.35	0.0667	0.9093
0.1	3	Purus	0.55	0.1142	0.8396
0.1	4	Purus	0.65	0.1283	0.8468
0.1	5	Purus	0.45	0.085	0.8952
0.1	6	Purus	0.3	0.06	0.9234
0.1	7	Purus	0.45	0.0708	0.9048
0.1	8	Purus	0.75	0.145	0.8003
0.1	9	Purus	0.55	0.11	0.864
0.1	10	Purus	0.35	0.0729	0.9039
0.1	1	Lalo	0.592	0.1856	0.7396
0.1	2	Lalo	0.672	0.2167	0.6909
0.1	3	Lalo	0.736	0.234	0.6756
0.1	4	Lalo	0.536	0.17	0.7445
0.1	5	Lalo	0.584	0.188	0.7476
0.1	6	Lalo	0.656	0.206	0.6999
0.1	7	Lalo	0.576	0.1833	0.7353
0.1	8	Lalo	0.64	0.2016	0.7145
0.1	9	Lalo	0.6	0.18	0.7357
0.1	10	Lalo	0.576	0.1813	0.7382
0.1	1	Bai	0.5652	0.1496	0.8046
0.1	2	Bai	0.8478	0.1982	0.7603
0.1	3	Bai	0.7609	0.204	0.755
0.1	4	Bai	0.8478	0.2221	0.7246
0.1	5	Bai	0.7826	0.2033	0.7754
0.1	6	Bai	0.8043	0.212	0.7587
0.1	7	Bai	0.6957	0.1822	0.7699
0.1	8	Bai	0.7609	0.1996	0.7487
0.1	9	Bai	0.7826	0.2112	0.7549
0.1	10	Bai	0.6739	0.1645	0.7799
0.1	1	Karen	0.6389	0.1491	0.8511
0.1	2	Karen	0.3056	0.0889	0.9232
0.1	3	Karen	0.6111	0.1505	0.8389
0.1	4	Karen	0.7778	0.2056	0.8164
0.1	5	Karen	0.5	0.131	0.8595
0.1	6	Karen	0.5	0.1319	0.8644
0.1	7	Karen	0.8056	0.2028	0.798
0.1	8	Karen	0.75	0.1829	0.7997
0.1	9	Karen	0.6389	0.1759	0.8466
0.1	10	Karen	0.5	0.1287	0.8896
0.1	1	Romance	1.1325	0.1424	0.7968
0.1	2	Romance	1.0578	0.1325	0.8036
0.1	3	Romance	1.1687	0.1422	0.7853
0.1	4	Romance	1.1446	0.1438	0.7896
0.1	5	Romance	1.2723	0.1565	0.7694
0.1	6	Romance	1.2337	0.1528	0.7721
0.1	7	Romance	1.1566	0.1406	0.7926
0.1	8	Romance	1.147	0.1418	0.7883
0.1	9	Romance	1.0602	0.1323	0.8069
0.1	10	Romance	1.1783	0.1431	0.7896
